Run   obj.function   $E            $nu           
1     2.980921E+15  1.500000E+10  2.500000E-01  
2     3.249760E+15  1.510000E+10  2.500000E-01  
3     3.087876E+15  1.500000E+10  2.530000E-01  
4     2.643655E+15  1.484268E+10  2.408775E-01  
5     2.612446E+15  1.482048E+10  2.408097E-01  
6     2.671111E+15  1.486201E+10  2.409675E-01  
7     2.233904E+15  1.460668E+10  2.572148E-01  
8     1.904911E+15  1.442243E+10  2.488681E-01  
9     1.609966E+15  1.422127E+10  2.640719E-01  
10    1.331483E+15  1.403439E+10  2.567309E-01  
11    1.108648E+15  1.385013E+10  2.705376E-01  
12    8.864219E+14  1.366523E+10  2.642924E-01  
13    7.240846E+14  1.349988E+10  2.765640E-01  
14    8.776638E+14  1.359988E+10  2.765640E-01  
15    8.257727E+14  1.349988E+10  2.795640E-01  
