time crIndex gridPoint
f i i
 1.0000e-001 67917 68086
 1.0000e-001 494 68112
 1.0000e-001 67328 68138
 1.0000e-001 67961 68164
 1.0000e-001 67649 68236
 1.0000e-001 67605 68262
 1.0000e-001 67939 68288
 1.0000e-001 67407 68359
 1.0000e-001 68337 68385
 1.0000e-001 65157 68411
 1.0000e-001 64681 68437
 1.0000e-001 65056 68463
 1.0000e-001 67451 68489
 1.0000e-001 67159 68690
 1.0000e-001 66467 68716
 1.0000e-001 64170 68742
 1.0000e-001 63433 68768
 1.0000e-001 63808 68794
 1.0000e-001 68607 68820
 1.0000e-001 67203 68846
 1.0000e-001 66955 68987
 1.0000e-001 66665 69013
 1.0000e-001 66999 69039
 1.0000e-001 66643 69171
 1.0000e-001 61407 69197
 1.0000e-001 69088 69223
 1.0000e-001 59464 69249
 1.0000e-001 59492 69275
 1.0000e-001 63354 69301
 1.0000e-001 66687 69327
 1.0000e-001 66445 69468
 1.0000e-001 66155 69494
 1.0000e-001 66489 69520
 1.0000e-001 65843 69674
 1.0000e-001 63887 69700
 1.0000e-001 69591 69726
 1.0000e-001 64148 69752
 1.0000e-001 66177 69778
 1.0000e-001 66133 69804
 1.0000e-001 69569 69830
 1.0000e-001 67429 69856
 1.0000e-001 65078 70101
 1.0000e-001 59414 70127
 1.0000e-001 59059 70153
 1.0000e-001 58980 70179
 1.0000e-001 70020 70205
 1.0000e-001 65865 70231
 1.0000e-001 63830 70581
 1.0000e-001 70421 70607
 1.0000e-001 62674 70633
 1.0000e-001 60379 70659
 1.0000e-001 70502 70685
 1.0000e-001 60827 70711
 1.0000e-001 60783 70737
 1.0000e-001 65575 70763
 1.0000e-001 65333 70927
 1.0000e-001 62753 70953
 1.0000e-001 63065 70979
 1.0000e-001 63304 71005
 1.0000e-001 65377 71031
 1.0000e-001 64277 71198
 1.0000e-001 64198 71224
 1.0000e-001 65179 71250
 1.0000e-001 65135 71276
 1.0000e-001 65355 71302
 1.0000e-001 64220 71482
 1.0000e-001 58398 71508
 1.0000e-001 71399 71534
 1.0000e-001 56424 71560
 1.0000e-001 56452 71586
 1.0000e-001 59392 71612
 1.0000e-001 64703 71638
 1.0000e-001 63326 71860
 1.0000e-001 57894 71886
 1.0000e-001 57973 71912
 1.0000e-001 58376 71938
 1.0000e-001 71779 71964
 1.0000e-001 64299 71990
 1.0000e-001 59002 72108
 1.0000e-001 72637 72588
 1.0000e-001 58455 72134
 1.0000e-001 58830 72160
 1.0000e-001 72509 72460
 1.0000e-001 63909 72186
 1.0000e-001 72379 72330
 1.0000e-001 58852 72876
 1.0000e-001 72797 72902
 1.0000e-001 58348 72928
 1.0000e-001 54879 72954
 1.0000e-001 55305 72980
 1.0000e-001 56502 73006
 1.0000e-001 72716 73032
 1.0000e-001 62652 73058
 1.0000e-001 63455 73084
 1.0000e-001 65553 73343
 1.0000e-001 65531 73369
 1.0000e-001 516 73395
 1.0000e-001 67181 73421
 1.0000e-001 62731 73655
 1.0000e-001 62455 73681
 1.0000e-001 73576 73707
 1.0000e-001 62051 73733
 1.0000e-001 73493 73759
 1.0000e-001 62602 73785
 1.0000e-001 62775 73811
 1.0000e-001 62433 74033
 1.0000e-001 61605 74059
 1.0000e-001 61752 74085
 1.0000e-001 62477 74111
 1.0000e-001 73952 74137
 1.0000e-001 62624 74232
 1.0000e-001 58902 74258
 1.0000e-001 57497 74284
 1.0000e-001 57872 74310
 1.0000e-001 63043 74336
 1.0000e-001 61831 74431
 1.0000e-001 59342 74457
 1.0000e-001 61875 74483
 1.0000e-001 63376 74534
 1.0000e-001 59975 74560
 1.0000e-001 59593 74586
 1.0000e-001 61627 74612
 1.0000e-001 61583 74638
 1.0000e-001 66977 74664
 1.0000e-001 67350 75011
 1.0000e-001 61853 75037
 1.0000e-001 60981 75063
 1.0000e-001 61429 75089
 1.0000e-001 74928 75115
 1.0000e-001 61385 75141
