time zIndex S11 S22 S12 block gridPoints
f i f f f i l
 1.0000e-001 68048 -4.9286e+001  3.5709e+001 -1.1458e+000 67642 67898,67950,67924
 1.0000e-001 68025 -5.8916e+001  1.9779e+001  2.9672e+000 67642 67898,67976,67950
 1.0000e-001 68002 -2.8571e+001  3.1212e+001  5.3054e+000 67642 67872,67976,67898
 1.0000e-001 68367 -3.9353e+001 -7.1995e+000  2.7051e+000 67444 68119,68223,68197
 1.0000e-001 68344 -3.4899e+001 -4.1429e+000  1.6252e-001 67444 68119,68249,68223
 1.0000e-001 68321 -3.4871e+001 -4.0846e+000  7.4521e-002 67444 68093,68249,68119
 1.0000e-001 68298 -3.7867e+001 -2.2954e+000 -2.0993e-001 67444 68119,68197,68171
 1.0000e-001 68275 -3.2472e+001  1.8133e+000  1.6571e+000 67444 68119,68171,68145
 1.0000e-001 68468 -4.6001e+001  1.2350e+001 -4.0053e+000 67268 68390,68442,68416
 1.0000e-001 68765 -4.1312e+001  2.2922e+001 -2.7381e+000 66956 68788,68517,68491
 1.0000e-001 68742 -4.0244e+001  1.8201e+001 -3.5475e+000 66956 68788,68491,68621
 1.0000e-001 68719 -4.9135e+001  1.5771e+001 -1.6401e+001 66956 68543,68621,68569
 1.0000e-001 68696 -3.6199e+001  2.9386e+001 -2.6354e+000 66956 68491,68647,68621
 1.0000e-001 68673 -9.2162e+001 -1.8491e+001 -3.2199e+001 66956 68569,68621,68595
 1.0000e-001 68814 -4.0671e+001  1.9282e+001 -1.3844e+000 66956 68543,68517,68788
 1.0000e-001 68837 -3.9359e+001  1.4786e+001 -2.6176e+000 66956 68543,68788,68621
 1.0000e-001 69107 -4.5013e+001 -1.1393e+001 -5.5110e-001 66758 68882,68986,68908
 1.0000e-001 69084 -3.5761e+001 -7.0592e+000  6.0465e-001 66758 68882,69012,68986
 1.0000e-001 69061 -5.0663e+001 -7.4559e+000 -8.0308e-001 66758 68908,68960,68934
 1.0000e-001 69038 -4.4628e+001 -7.9846e+000 -6.8712e-001 66758 68908,68986,68960
 1.0000e-001 69308 -4.1548e+001  2.9217e+001 -1.2323e+000 66560 69331,69184,69158
 1.0000e-001 69285 -4.2708e+001  2.3253e+001 -2.9330e+000 66560 69331,69158,69132
 1.0000e-001 69262 -4.3555e+001  2.2761e+001  8.2230e+000 66560 69184,69236,69210
 1.0000e-001 69357 -3.7048e+001  2.3427e+001  1.0069e+000 66560 69236,69184,69331
 1.0000e-001 69380 -3.9271e+001  1.5865e+001  8.9474e-002 66560 69236,69331,69132
 1.0000e-001 69554 -4.7450e+001  1.6914e+001 -2.4104e+000 66270 69427,69479,69453
 1.0000e-001 69531 -5.2828e+001  4.3751e+000 -4.8960e+000 66270 69427,69505,69479
 1.0000e-001 69804 -3.7872e+001  4.6113e+000  2.4967e+000 66066 69579,69683,69657
 1.0000e-001 69781 -5.0131e+001 -5.8489e-001  2.0681e+000 66066 69579,69709,69683
 1.0000e-001 69758 -4.4195e+001  4.5842e+000  5.7778e+000 66066 69579,69657,69631
 1.0000e-001 69735 -4.0199e+001  1.0995e+001  1.3791e+001 66066 69579,69631,69605
 1.0000e-001 70257 -4.0401e+001 -1.3338e+001 -7.3683e-001 65776 69960,70090,69986
 1.0000e-001 70234 -3.9692e+001 -1.0405e+001 -1.4753e+000 65776 69934,70090,69960
 1.0000e-001 70211 -3.1493e+001 -6.5262e+000 -3.5069e-001 65776 69934,70116,70090
 1.0000e-001 70188 -3.6834e+001 -6.9049e+000  0.0000e+000 65776 70038,70090,70064
 1.0000e-001 70165 -3.6757e+001 -5.2349e+000 -1.8306e+000 65776 69986,70090,70038
 1.0000e-001 70142 -3.8143e+001 -2.0107e+000 -1.3018e+000 65776 69986,70038,70012
 1.0000e-001 70456 -3.2557e+001 -4.5265e+000  2.9079e-001 65372 70479,70306,70280
 1.0000e-001 70433 -2.9610e+001 -3.5781e+000 -1.8664e+000 65372 70479,70280,70384
 1.0000e-001 70410 -2.9185e+001 -6.3820e+000  1.0291e+000 65372 70551,70332,70306
 1.0000e-001 70505 -2.9294e+001 -3.7288e+000 -9.8008e-001 65372 70551,70306,70479
 1.0000e-001 70528 -2.3387e+001 -4.8890e+000 -3.4922e+000 65372 70358,70479,70384
 1.0000e-001 70577 -2.8415e+001 -1.0151e+001  7.0927e-001 65372 70358,70332,70551
 1.0000e-001 70600 -2.9711e+001 -8.7428e+000 -1.0260e+000 65372 70358,70551,70479
 1.0000e-001 70821 -5.7386e+001 -2.8161e+001 -2.8923e+000 65174 70645,70723,70671
 1.0000e-001 70798 -5.3804e+001 -2.3625e+001  3.7956e+000 65174 70645,70749,70723
 1.0000e-001 70775 -5.3209e+001 -1.7858e+001 -5.4678e+000 65174 70671,70723,70697
 1.0000e-001 71071 -3.8759e+001  3.2056e+001 -7.0733e+000 64770 71094,70898,70872
 1.0000e-001 71048 -2.5091e+001  3.7022e+001 -5.1573e+000 64770 71166,71094,70872
 1.0000e-001 71025 -1.7705e+001  4.1060e+001 -3.5932e+000 64770 71166,70872,70846
 1.0000e-001 71002 -4.2526e+001  2.0001e+001 -1.0044e+001 64770 70898,70950,70924
 1.0000e-001 71120 -2.9366e+001  3.5465e+001 -3.6163e-001 64770 70950,70898,71094
 1.0000e-001 71143 -3.3481e+001  3.5988e+001 -1.2045e+000 64770 70950,71094,70976
 1.0000e-001 71192 -3.1525e+001  4.3897e+001  9.9980e-001 64770 70976,71094,71166
 1.0000e-001 71215 -2.7053e+001  4.6035e+001  1.6249e+000 64770 70976,71166,70846
 1.0000e-001 71514 -3.3285e+001 -2.9792e+000 -3.0749e-001 64572 71681,71537,71318
 1.0000e-001 71491 -3.1536e+001 -3.7531e+000 -7.0739e-001 64572 71537,71266,71240
 1.0000e-001 71468 -3.2403e+001 -6.3665e+000  1.0020e+000 64572 71609,71396,71370
 1.0000e-001 71445 -3.4958e+001 -7.3178e-001 -1.1797e+000 64572 71681,71318,71292
 1.0000e-001 71422 -3.0006e+001  4.5790e+000 -1.4230e+000 64572 71753,71344,71318
 1.0000e-001 71563 -3.1758e+001 -7.9843e-001 -1.0530e+000 64572 71753,71318,71537
 1.0000e-001 71586 -3.3168e+001 -4.8293e+000 -6.9854e-001 64572 71609,71370,71537
 1.0000e-001 71635 -3.5007e+001 -1.1749e+001  2.3791e+000 64572 71240,71396,71609
 1.0000e-001 71658 -3.3943e+001 -7.9962e+000  3.1174e-001 64572 71240,71609,71537
 1.0000e-001 71707 -3.5273e+001 -5.4976e+000 -1.1710e+000 64572 71266,71537,71681
 1.0000e-001 71730 -3.8474e+001 -4.5867e+000 -2.6740e+000 64572 71266,71681,71292
 1.0000e-001 71779 -3.2046e+001 -2.1984e+000 -2.6686e-001 64572 71370,71344,71753
 1.0000e-001 71802 -3.0958e+001 -3.2289e+000  1.6300e-001 64572 71370,71753,71537
 1.0000e-001 72052 -1.6493e+001  2.2653e+001 -7.8499e+000 64374 72075,71879,71827
 1.0000e-001 72029 -1.1131e+001  2.5033e+001 -8.2966e+000 64374 72147,72075,71827
 1.0000e-001 72006 -1.2186e+000  2.1032e+001 -1.4766e+001 64374 72147,71827,71957
 1.0000e-001 71983 -1.3616e+001  4.7923e+001 -6.2560e+000 64374 71827,71879,71853
 1.0000e-001 72101 -1.6029e+001  2.8634e+001 -1.0456e+001 64374 71905,71879,72075
 1.0000e-001 72124 -2.7688e+001  2.0496e+001 -6.2405e+000 64374 71905,72075,71931
 1.0000e-001 72173 -2.0046e+001  1.3619e+001 -3.9878e+000 64374 71931,72075,72147
 1.0000e-001 72196 -1.3734e+001  7.6320e+000 -9.5480e+000 64374 71931,72147,71957
 1.0000e-001 72649 -3.8443e+001 -1.2981e+001  8.1465e-001 63948 72352,72508,72482
 1.0000e-001 72626 -4.3490e+001 -1.9581e+001 -5.1325e+000 63948 72326,72508,72352
 1.0000e-001 72603 -3.5687e+001 -8.4408e+000  7.1604e-001 63948 72672,72430,72378
 1.0000e-001 72580 -3.3741e+001  1.0207e+000 -2.3193e+000 63948 72672,72378,72352
 1.0000e-001 72557 -3.6442e+001 -1.3492e+001  5.1719e-001 63948 72744,72456,72430
 1.0000e-001 72534 -3.6491e+001  1.8164e+000  1.1558e+001 63948 72378,72430,72404
