time crIndex gridPoint
f i i
 1.0000e-001 67989 68186
 1.0000e-001 68164 68212
 1.0000e-001 66725 68238
 1.0000e-001 66321 68264
 1.0000e-001 68033 68290
 1.0000e-001 67791 68385
 1.0000e-001 490 68411
 1.0000e-001 63337 68437
 1.0000e-001 63236 68463
 1.0000e-001 67835 68489
 1.0000e-001 66242 68606
 1.0000e-001 62975 68632
 1.0000e-001 62571 68658
 1.0000e-001 62492 68684
 1.0000e-001 67637 68710
 1.0000e-001 67593 68736
 1.0000e-001 68584 68762
 1.0000e-001 68011 68788
 1.0000e-001 66703 68952
 1.0000e-001 67121 68978
 1.0000e-001 67439 69004
 1.0000e-001 67099 69053
 1.0000e-001 64579 69079
 1.0000e-001 61627 69105
 1.0000e-001 62053 69131
 1.0000e-001 62292 69157
 1.0000e-001 63598 69183
 1.0000e-001 67143 69209
 1.0000e-001 65555 69446
 1.0000e-001 65981 69472
 1.0000e-001 66945 69498
 1.0000e-001 66901 69524
 1.0000e-001 69424 69550
 1.0000e-001 67615 69576
 1.0000e-001 63620 69696
 1.0000e-001 63699 69722
 1.0000e-001 64052 69748
 1.0000e-001 66747 69774
 1.0000e-001 67417 69800
 1.0000e-001 62414 70074
 1.0000e-001 62442 70100
 1.0000e-001 69991 70126
 1.0000e-001 64799 70152
 1.0000e-001 64755 70178
 1.0000e-001 512 70204
 1.0000e-001 69969 70230
 1.0000e-001 66923 70256
 1.0000e-001 64074 70420
 1.0000e-001 62364 70446
 1.0000e-001 61173 70472
 1.0000e-001 61548 70498
 1.0000e-001 66220 70524
 1.0000e-001 66299 70550
 1.0000e-001 62514 70668
 1.0000e-001 60512 70694
 1.0000e-001 60137 70720
 1.0000e-001 60590 70746
 1.0000e-001 65577 70772
 1.0000e-001 64953 71035
 1.0000e-001 65401 71061
 1.0000e-001 65357 71087
 1.0000e-001 71013 71113
 1.0000e-001 67813 71139
 1.0000e-001 63258 71236
 1.0000e-001 59150 71262
 1.0000e-001 59229 71288
 1.0000e-001 59582 71314
 1.0000e-001 61094 71340
 1.0000e-001 64975 71366
 1.0000e-001 60612 71630
 1.0000e-001 58688 71656
 1.0000e-001 56658 71682
 1.0000e-001 57141 71708
 1.0000e-001 59028 71734
 1.0000e-001 62392 71760
 1.0000e-001 65959 71786
 1.0000e-001 61116 72217
 1.0000e-001 60669 72243
 1.0000e-001 61044 72269
 1.0000e-001 64601 72295
 1.0000e-001 64557 72321
 1.0000e-001 65379 72347
 1.0000e-001 62464 72716
 1.0000e-001 72633 72742
 1.0000e-001 59050 72768
 1.0000e-001 56601 72794
 1.0000e-001 55657 72820
 1.0000e-001 55635 72846
 1.0000e-001 72611 72872
 1.0000e-001 64175 72898
 1.0000e-001 64153 73206
 1.0000e-001 64131 73232
 1.0000e-001 64777 73258
 1.0000e-001 63315 73307
 1.0000e-001 58789 73333
 1.0000e-001 59078 73359
 1.0000e-001 59128 73385
 1.0000e-001 63359 73411
 1.0000e-001 61570 73508
 1.0000e-001 60562 73534
 1.0000e-001 59661 73560
 1.0000e-001 60036 73586
 1.0000e-001 62997 73612
 1.0000e-001 60058 73781
 1.0000e-001 56090 73807
 1.0000e-001 56169 73833
 1.0000e-001 58566 73859
 1.0000e-001 60490 73885
 1.0000e-001 62593 73911
 1.0000e-001 62314 74175
 1.0000e-001 58538 74201
 1.0000e-001 58049 74227
 1.0000e-001 58616 74253
 1.0000e-001 62342 74279
 1.0000e-001 63677 74305
 1.0000e-001 61066 74497
 1.0000e-001 57970 74523
 1.0000e-001 57409 74549
 1.0000e-001 57898 74575
 1.0000e-001 61649 74601
 1.0000e-001 58638 74842
 1.0000e-001 55990 74868
 1.0000e-001 56018 74894
 1.0000e-001 60540 74920
 1.0000e-001 61195 74946
 1.0000e-001 59604 75205
 1.0000e-001 53306 75231
 1.0000e-001 75043 75257
 1.0000e-001 53234 75283
 1.0000e-001 75126 75309
 1.0000e-001 57948 75335
 1.0000e-001 60691 75361
 1.0000e-001 57920 75574
 1.0000e-001 55174 75600
 1.0000e-001 55253 75626
 1.0000e-001 55918 75652
 1.0000e-001 58516 75678
 1.0000e-001 62031 75704
 1.0000e-001 56040 76038
 1.0000e-001 55074 76064
 1.0000e-001 54215 76090
 1.0000e-001 54136 76116
 1.0000e-001 56068 76142
 1.0000e-001 59683 76168
 1.0000e-001 58588 76371
 1.0000e-001 55024 76397
 1.0000e-001 54952 76423
 1.0000e-001 76288 76449
 1.0000e-001 58666 76475
 1.0000e-001 60115 76501
 1.0000e-001 59100 76779
 1.0000e-001 55124 76805
 1.0000e-001 51064 76831
 1.0000e-001 76700 76857
 1.0000e-001 51143 76883
 1.0000e-001 51546 76909
 1.0000e-001 53284 76935
 1.0000e-001 76619 76961
 1.0000e-001 59207 76987
 1.0000e-001 58745 77318
 1.0000e-001 54663 77344
 1.0000e-001 55102 77370
 1.0000e-001 58767 77396
 1.0000e-001 53256 77551
 1.0000e-001 77468 77577
 1.0000e-001 51568 77603
 1.0000e-001 50049 77629
 1.0000e-001 50128 77655
 1.0000e-001 50481 77681
 1.0000e-001 52440 77707
 1.0000e-001 55152 77733
 1.0000e-001 57431 77759
 1.0000e-001 55940 78162
 1.0000e-001 53860 78188
 1.0000e-001 53413 78214
 1.0000e-001 53788 78240
 1.0000e-001 55052 78266
 1.0000e-001 55968 78292
 1.0000e-001 58027 78318
 1.0000e-001 54974 78772
 1.0000e-001 78531 78798
 1.0000e-001 54924 78824
 1.0000e-001 52569 78850
 1.0000e-001 78614 78876
 1.0000e-001 52995 78902
 1.0000e-001 53334 78928
 1.0000e-001 78693 78954
 1.0000e-001 56680 78980
 1.0000e-001 53356 79392
 1.0000e-001 79311 79418
 1.0000e-001 51014 79444
 1.0000e-001 50582 79470
 1.0000e-001 53888 79496
 1.0000e-001 56579 79522
 1.0000e-001 57119 79548
 1.0000e-001 53910 79761
 1.0000e-001 54011 79787
 1.0000e-001 53967 79813
 1.0000e-001 55679 79839
 1.0000e-001 54158 79911
 1.0000e-001 51908 79937
 1.0000e-001 51647 79963
 1.0000e-001 52490 79989
 1.0000e-001 54902 80015
 1.0000e-001 55002 80041
 1.0000e-001 56147 80067
 1.0000e-001 52462 80426
 1.0000e-001 51965 80452
 1.0000e-001 52340 80478
 1.0000e-001 53838 80504
 1.0000e-001 55231 80530
 1.0000e-001 53810 80699
 1.0000e-001 48524 80725
 1.0000e-001 48603 80751
 1.0000e-001 49483 80777
 1.0000e-001 51886 80803
 1.0000e-001 54237 80829
 1.0000e-001 54619 81255
 1.0000e-001 49121 81281
 1.0000e-001 81176 81307
 1.0000e-001 49382 81333
 1.0000e-001 51042 81359
 1.0000e-001 81093 81385
 1.0000e-001 54641 81411
 1.0000e-001 52362 81633
 1.0000e-001 46402 81659
 1.0000e-001 81552 81685
 1.0000e-001 46430 81711
 1.0000e-001 48502 81737
 1.0000e-001 53435 81763
 1.0000e-001 49744 81881
 1.0000e-001 49845 81907
 1.0000e-001 49801 81933
 1.0000e-001 53989 81959
 1.0000e-001 52512 82193
 1.0000e-001 51518 82219
 1.0000e-001 47787 82245
 1.0000e-001 48213 82271
 1.0000e-001 82114 82297
 1.0000e-001 52390 82323
 1.0000e-001 52591 82349
 1.0000e-001 82031 82375
 1.0000e-001 50503 82843
 1.0000e-001 45040 82869
 1.0000e-001 82764 82895
 1.0000e-001 44317 82921
 1.0000e-001 44743 82947
 1.0000e-001 44868 82973
 1.0000e-001 46380 82999
