time crIndex gridPoint
f i i
 1.0000e-001 66133 66324
 1.0000e-001 66302 66350
 1.0000e-001 64017 66376
 1.0000e-001 62765 66402
 1.0000e-001 63026 66428
 1.0000e-001 66177 66454
 1.0000e-001 64391 66673
 1.0000e-001 66594 66699
 1.0000e-001 64766 66725
 1.0000e-001 65979 66751
 1.0000e-001 65935 66777
 1.0000e-001 66572 66803
 1.0000e-001 66155 66829
 1.0000e-001 65043 66970
 1.0000e-001 65469 66996
 1.0000e-001 65781 67022
 1.0000e-001 65737 67048
 1.0000e-001 65957 67074
 1.0000e-001 59296 67252
 1.0000e-001 67169 67278
 1.0000e-001 59224 67304
 1.0000e-001 60313 67330
 1.0000e-001 60269 67356
 1.0000e-001 65759 67382
 1.0000e-001 64788 67739
 1.0000e-001 59196 67765
 1.0000e-001 67660 67791
 1.0000e-001 58188 67817
 1.0000e-001 56933 67843
 1.0000e-001 67581 67869
 1.0000e-001 56854 67895
 1.0000e-001 67500 67921
 1.0000e-001 65065 67947
 1.0000e-001 64845 68134
 1.0000e-001 62589 68160
 1.0000e-001 62545 68186
 1.0000e-001 59944 68212
 1.0000e-001 60750 68238
 1.0000e-001 64889 68264
 1.0000e-001 63048 68382
 1.0000e-001 58799 68408
 1.0000e-001 68913 68864
 1.0000e-001 59174 68434
 1.0000e-001 68785 68736
 1.0000e-001 64413 68460
 1.0000e-001 68653 68604
 1.0000e-001 64193 68992
 1.0000e-001 63325 69018
 1.0000e-001 61630 69044
 1.0000e-001 61658 69070
 1.0000e-001 64237 69096
 1.0000e-001 63995 69191
 1.0000e-001 63127 69217
 1.0000e-001 59396 69243
 1.0000e-001 69511 69462
 1.0000e-001 59324 69269
 1.0000e-001 64039 69295
 1.0000e-001 61680 69675
 1.0000e-001 58692 69701
 1.0000e-001 58295 69727
 1.0000e-001 58216 69753
 1.0000e-001 69594 69779
 1.0000e-001 63727 69805
 1.0000e-001 63705 69923
 1.0000e-001 63545 69949
 1.0000e-001 63501 69975
 1.0000e-001 64215 70001
 1.0000e-001 62255 70145
 1.0000e-001 61759 70171
 1.0000e-001 63347 70197
 1.0000e-001 63303 70223
 1.0000e-001 64867 70249
 1.0000e-001 60829 70368
 1.0000e-001 61255 70394
 1.0000e-001 63149 70420
 1.0000e-001 63105 70446
 1.0000e-001 70346 70472
 1.0000e-001 63523 70498
 1.0000e-001 59346 70618
 1.0000e-001 58138 70644
 1.0000e-001 57451 70670
 1.0000e-001 57877 70696
 1.0000e-001 58720 70722
 1.0000e-001 62787 70748
 1.0000e-001 62567 70940
 1.0000e-001 490 70966
 1.0000e-001 62611 70992
 1.0000e-001 60772 71043
 1.0000e-001 59446 71069
 1.0000e-001 59525 71095
 1.0000e-001 59821 71121
 1.0000e-001 62277 71147
 1.0000e-001 56876 71485
 1.0000e-001 71327 71511
 1.0000e-001 56464 71537
 1.0000e-001 56067 71563
 1.0000e-001 55988 71589
 1.0000e-001 71406 71615
 1.0000e-001 59274 71641
 1.0000e-001 71244 71667
 1.0000e-001 65447 71693
 1.0000e-001 59843 71952
 1.0000e-001 56514 71978
 1.0000e-001 55563 72004
 1.0000e-001 55938 72030
 1.0000e-001 58670 72056
 1.0000e-001 61608 72082
 1.0000e-001 61737 72108
 1.0000e-001 58238 72483
 1.0000e-001 72321 72509
 1.0000e-001 55456 72535
 1.0000e-001 55081 72561
 1.0000e-001 55484 72587
 1.0000e-001 72404 72613
 1.0000e-001 60851 72639
 1.0000e-001 60581 72780
 1.0000e-001 512 72806
 1.0000e-001 60291 72832
 1.0000e-001 60625 72858
 1.0000e-001 55506 73092
 1.0000e-001 72930 73118
 1.0000e-001 54902 73144
 1.0000e-001 54455 73170
 1.0000e-001 54830 73196
 1.0000e-001 58116 73222
 1.0000e-001 59374 73248
 1.0000e-001 73013 73274
 1.0000e-001 61233 73300
 1.0000e-001 59246 73631
 1.0000e-001 56593 73657
 1.0000e-001 56571 73683
 1.0000e-001 60603 73709
 1.0000e-001 59900 73864
 1.0000e-001 53718 73890
 1.0000e-001 53292 73916
 1.0000e-001 53213 73942
 1.0000e-001 53865 73968
 1.0000e-001 73781 73994
 1.0000e-001 59424 74020
 1.0000e-001 59922 74046
 1.0000e-001 58742 74442
 1.0000e-001 55002 74468
 1.0000e-001 74282 74494
 1.0000e-001 54930 74520
 1.0000e-001 58166 74546
 1.0000e-001 58821 74572
 1.0000e-001 74363 74598
 1.0000e-001 55960 74899
 1.0000e-001 51872 74925
 1.0000e-001 74739 74951
 1.0000e-001 51951 74977
 1.0000e-001 52361 75003
 1.0000e-001 74820 75029
 1.0000e-001 55434 75055
 1.0000e-001 58317 75081
 1.0000e-001 53887 75245
 1.0000e-001 75565 75516
 1.0000e-001 53966 75271
 1.0000e-001 54376 75297
 1.0000e-001 56492 75323
 1.0000e-001 59503 75349
 1.0000e-001 54852 75885
 1.0000e-001 52483 75911
 1.0000e-001 47463 75937
 1.0000e-001 75727 75963
 1.0000e-001 47391 75989
 1.0000e-001 75806 76015
 1.0000e-001 51217 76041
 1.0000e-001 75646 76067
 1.0000e-001 57473 76093
 1.0000e-001 54952 76577
 1.0000e-001 52433 76603
 1.0000e-001 51346 76629
 1.0000e-001 50381 76655
 1.0000e-001 50864 76681
 1.0000e-001 53163 76707
 1.0000e-001 56442 76733
 1.0000e-001 56955 76759
 1.0000e-001 76496 76785
 1.0000e-001 56010 77197
 1.0000e-001 77116 77223
 1.0000e-001 52533 77249
 1.0000e-001 52612 77275
 1.0000e-001 53038 77301
 1.0000e-001 52994 77327
 1.0000e-001 56615 77353
 1.0000e-001 53185 77638
 1.0000e-001 50124 77664
 1.0000e-001 50152 77690
 1.0000e-001 52511 77716
 1.0000e-001 56089 77742
 1.0000e-001 54398 78071
 1.0000e-001 50274 78097
 1.0000e-001 77909 78123
 1.0000e-001 50202 78149
 1.0000e-001 51850 78175
 1.0000e-001 77992 78201
 1.0000e-001 55585 78227
 1.0000e-001 51239 78528
 1.0000e-001 78368 78554
 1.0000e-001 51267 78580
 1.0000e-001 52411 78606
 1.0000e-001 54980 78632
 1.0000e-001 78449 78658
 1.0000e-001 57855 78684
 1.0000e-001 50024 79129
 1.0000e-001 78969 79155
 1.0000e-001 48486 79181
 1.0000e-001 48912 79207
 1.0000e-001 79050 79233
 1.0000e-001 52461 79259
 1.0000e-001 54477 79285
 1.0000e-001 52383 79658
 1.0000e-001 79579 79684
 1.0000e-001 50074 79710
 1.0000e-001 50002 79736
 1.0000e-001 79498 79762
 1.0000e-001 54880 79788
 1.0000e-001 55059 79814
 1.0000e-001 53696 79955
 1.0000e-001 51800 79981
 1.0000e-001 53740 80007
 1.0000e-001 51822 80078
 1.0000e-001 51778 80104
 1.0000e-001 80056 80130
 1.0000e-001 46286 80156
 1.0000e-001 46547 80182
 1.0000e-001 47491 80208
 1.0000e-001 50302 80234
 1.0000e-001 53314 80260
 1.0000e-001 53235 80588
 1.0000e-001 50324 80614
 1.0000e-001 49577 80640
 1.0000e-001 80509 80666
 1.0000e-001 49952 80692
 1.0000e-001 50252 80718
 1.0000e-001 80426 80744
 1.0000e-001 53944 80770
 1.0000e-001 47925 81037
 1.0000e-001 80956 81063
 1.0000e-001 47614 81089
 1.0000e-001 47570 81115
 1.0000e-001 80934 81141
 1.0000e-001 53016 81167
 1.0000e-001 50174 81445
 1.0000e-001 49520 81471
 1.0000e-001 47875 81497
 1.0000e-001 81285 81523
 1.0000e-001 47903 81549
 1.0000e-001 81366 81575
 1.0000e-001 52590 81601
 1.0000e-001 51289 81902
 1.0000e-001 47413 81928
 1.0000e-001 81823 81954
 1.0000e-001 46207 81980
 1.0000e-001 43822 82006
 1.0000e-001 43901 82032
 1.0000e-001 44304 82058
 1.0000e-001 46135 82084
 1.0000e-001 81742 82110
 1.0000e-001 51368 82136
 1.0000e-001 50224 82643
 1.0000e-001 49974 82669
 1.0000e-001 47975 82695
 1.0000e-001 47073 82721
 1.0000e-001 45760 82747
 1.0000e-001 45681 82773
 1.0000e-001 82562 82799
 1.0000e-001 50052 82825
 1.0000e-001 51929 82851
 1.0000e-001 46157 83110
 1.0000e-001 83430 83381
 1.0000e-001 44837 83136
 1.0000e-001 45212 83162
 1.0000e-001 48003 83188
 1.0000e-001 50403 83214
 1.0000e-001 47513 83664
 1.0000e-001 46726 83690
 1.0000e-001 46647 83716
 1.0000e-001 47953 83742
 1.0000e-001 49599 83768
 1.0000e-001 83583 83794
 1.0000e-001 48025 83912
 1.0000e-001 48104 83938
 1.0000e-001 49259 83964
 1.0000e-001 49498 83990
 1.0000e-001 50102 84016
 1.0000e-001 50842 84042
 1.0000e-001 43460 84473
 1.0000e-001 84394 84499
 1.0000e-001 43388 84525
 1.0000e-001 84315 84551
 1.0000e-001 46597 84577
 1.0000e-001 47853 84603
 1.0000e-001 84232 84629
 1.0000e-001 49237 84655
 1.0000e-001 45703 84979
 1.0000e-001 84819 85005
 1.0000e-001 42252 85031
 1.0000e-001 41820 85057
 1.0000e-001 43099 85083
 1.0000e-001 44254 85109
 1.0000e-001 44354 85135
 1.0000e-001 84900 85161
 1.0000e-001 48508 85187
 1.0000e-001 44376 85757
 1.0000e-001 86368 86319
 1.0000e-001 44455 85783
 1.0000e-001 85518 85809
 1.0000e-001 46185 85835
 1.0000e-001 47441 85861
 1.0000e-001 85599 85887
 1.0000e-001 48890 85913
 1.0000e-001 85678 85939
 1.0000e-001 45234 86528
 1.0000e-001 41691 86554
 1.0000e-001 41408 86580
 1.0000e-001 41026 86606
 1.0000e-001 42998 86632
 1.0000e-001 43438 86658
 1.0000e-001 86447 86684
 1.0000e-001 48082 86710
 1.0000e-001 46669 87099
 1.0000e-001 43360 87125
 1.0000e-001 42459 87151
 1.0000e-001 42948 87177
 1.0000e-001 87018 87203
 1.0000e-001 47095 87229
 1.0000e-001 46569 87347
 1.0000e-001 45284 87373
 1.0000e-001 42402 87399
 1.0000e-001 42330 87425
 1.0000e-001 43338 87451
 1.0000e-001 46748 87477
 1.0000e-001 46264 87667
 1.0000e-001 43561 87693
 1.0000e-001 45262 87719
 1.0000e-001 46308 87745
 1.0000e-001 42970 87981
 1.0000e-001 87902 88007
 1.0000e-001 42302 88033
 1.0000e-001 40550 88059
 1.0000e-001 87819 88085
 1.0000e-001 40925 88111
 1.0000e-001 42230 88137
 1.0000e-001 45782 88163
 1.0000e-001 43410 88408
 1.0000e-001 88327 88434
 1.0000e-001 43020 88460
 1.0000e-001 39841 88486
 1.0000e-001 39942 88512
 1.0000e-001 39898 88538
 1.0000e-001 45385 88564
 1.0000e-001 44326 88705
 1.0000e-001 40203 88731
 1.0000e-001 39082 88757
 1.0000e-001 39003 88783
 1.0000e-001 41669 88809
 1.0000e-001 44859 88835
 1.0000e-001 46619 89097
 1.0000e-001 45363 89123
 1.0000e-001 45341 89149
 1.0000e-001 47592 89175
 1.0000e-001 44276 89411
 1.0000e-001 38364 89437
