time crIndex gridPoint
f i i
 1.0000e-001 69283 69484
 1.0000e-001 68993 69510
 1.0000e-001 69327 69536
 1.0000e-001 68971 69686
 1.0000e-001 69585 69712
 1.0000e-001 68103 69738
 1.0000e-001 64742 69764
 1.0000e-001 64367 69790
 1.0000e-001 69607 69816
 1.0000e-001 65422 69842
 1.0000e-001 69015 69868
 1.0000e-001 65998 70032
 1.0000e-001 68499 70058
 1.0000e-001 68817 70084
 1.0000e-001 68477 70374
 1.0000e-001 64069 70400
 1.0000e-001 70295 70426
 1.0000e-001 62913 70452
 1.0000e-001 70216 70478
 1.0000e-001 63339 70504
 1.0000e-001 63578 70530
 1.0000e-001 70133 70556
 1.0000e-001 68521 70582
 1.0000e-001 68279 70769
 1.0000e-001 67083 70795
 1.0000e-001 66679 70821
 1.0000e-001 68323 70847
 1.0000e-001 68081 70919
 1.0000e-001 67791 70945
 1.0000e-001 68125 70971
 1.0000e-001 67769 71044
 1.0000e-001 494 71070
 1.0000e-001 71022 71096
 1.0000e-001 61417 71122
 1.0000e-001 61013 71148
 1.0000e-001 64216 71174
 1.0000e-001 64720 71200
 1.0000e-001 67813 71226
 1.0000e-001 67571 71392
 1.0000e-001 516 71418
 1.0000e-001 67281 71444
 1.0000e-001 67615 71470
 1.0000e-001 67259 71649
 1.0000e-001 71544 71675
 1.0000e-001 65225 71701
 1.0000e-001 64821 71727
 1.0000e-001 65372 71753
 1.0000e-001 71566 71779
 1.0000e-001 67303 71805
 1.0000e-001 67061 72012
 1.0000e-001 71968 72038
 1.0000e-001 71946 72064
 1.0000e-001 71990 72090
 1.0000e-001 66020 72116
 1.0000e-001 66332 72142
 1.0000e-001 65544 72168
 1.0000e-001 65623 72194
 1.0000e-001 65919 72220
 1.0000e-001 67105 72246
 1.0000e-001 65494 72561
 1.0000e-001 59969 72587
 1.0000e-001 72456 72613
 1.0000e-001 60048 72639
 1.0000e-001 63628 72665
 1.0000e-001 65247 72691
 1.0000e-001 65203 72717
 1.0000e-001 72539 72743
 1.0000e-001 68301 72769
 1.0000e-001 65941 73332
 1.0000e-001 60934 73358
 1.0000e-001 73172 73384
 1.0000e-001 60559 73410
 1.0000e-001 73253 73436
 1.0000e-001 65472 73462
 1.0000e-001 66657 73488
 1.0000e-001 63600 73710
 1.0000e-001 73629 73736
 1.0000e-001 62452 73762
 1.0000e-001 62531 73788
