time zIndex S11 S22 S12 block gridPoints
f i f f f i l
 1.0000e-001 66553 -1.2734e+002 -5.5191e+001  7.2335e+001 66108 66354,66458,66432
 1.0000e-001 66530 -1.3599e+002 -5.7863e+001  6.2945e+001 66108 66328,66458,66354
 1.0000e-001 66507 -9.9027e+001 -7.7006e+001  5.8430e+001 66108 66354,66432,66406
 1.0000e-001 66484 -1.1513e+001 -3.6411e+000  9.1455e+001 66108 66354,66406,66380
 1.0000e-001 66951 -1.1100e+002 -4.7384e+001  3.6434e+001 65910 66703,66833,66807
 1.0000e-001 66928 -8.4461e+001 -7.9831e+001  7.2610e+001 65910 66677,66833,66703
 1.0000e-001 66905 -3.6610e+001 -5.5524e+001  4.4854e+001 65910 66729,66781,66755
 1.0000e-001 66882 -1.0190e+002 -4.3382e+001  4.3452e+001 65910 66729,66807,66781
 1.0000e-001 66859 -1.0020e+002 -3.2332e+001  4.1912e+001 65910 66703,66807,66729
 1.0000e-001 67150 -1.5791e+002 -6.6893e+001  7.2071e+001 65712 67026,67078,67052
 1.0000e-001 67127 -2.9731e+002 -1.2403e+002  9.9896e+001 65712 66974,67078,67026
 1.0000e-001 67104 -3.7074e+002 -2.0173e+002  1.6953e+002 65712 66974,67026,67000
 1.0000e-001 67481 -1.4983e+002 -1.0122e+002  5.9058e+001 65422 67282,67360,67334
 1.0000e-001 67458 -1.0779e+002 -4.5263e+001  7.7755e+001 65422 67282,67386,67360
 1.0000e-001 67435 -7.1597e+001 -6.7965e+001  5.1577e+001 65422 67282,67334,67308
 1.0000e-001 67412 -1.8540e+002 -1.6599e+002  1.1201e+002 65422 67256,67386,67282
 1.0000e-001 68115 -9.1421e+001 -1.1679e+002  3.7134e+001 65018 67795,67925,67873
 1.0000e-001 68092 -6.1192e+001 -1.0304e+002  2.3130e+001 65018 67769,67925,67795
 1.0000e-001 68069 -7.5725e+001 -8.6034e+001  4.4920e+001 65018 67873,67925,67899
 1.0000e-001 68046 -1.4577e+002 -8.2132e+001  2.1501e+001 65018 67769,67951,67925
 1.0000e-001 68023 -1.0251e+002 -1.6575e+002  3.9027e+001 65018 67795,67873,67821
 1.0000e-001 68000 -1.0520e+002 -1.6325e+002  3.5719e+001 65018 67821,67873,67847
 1.0000e-001 67977 -1.7615e+002 -3.7167e+001  7.9541e+001 65018 67743,67951,67769
 1.0000e-001 68363 -1.2910e+001 -3.0002e+001  2.9676e+001 64820 68190,68242,68216
 1.0000e-001 68340 -3.5729e+001 -2.2278e+001  3.4836e+001 64820 68190,68268,68242
 1.0000e-001 68317 -1.5355e+001 -1.3132e+001  3.8966e+001 64820 68164,68268,68190
 1.0000e-001 68294 -7.6968e+001 -3.2780e+001  3.7020e+001 64820 68138,68268,68164
 1.0000e-001 68513 -8.0286e+001 -9.1185e+001  5.5181e+001 64366 68868,68536,68438
 1.0000e-001 68490 -8.6382e+001 -9.1063e+001  4.5359e+001 64366 68536,68412,68386
 1.0000e-001 68562 -1.3505e+002 -1.0716e+002  4.0119e+001 64366 68740,68536,68464
 1.0000e-001 68585 -9.1154e+001 -4.3714e+001  4.6437e+001 64366 68608,68536,68386
 1.0000e-001 68634 -1.2323e+002 -1.0902e+002  3.6252e+001 64366 68464,68536,68608
 1.0000e-001 68766 -7.6796e+001 -1.0272e+002  4.2097e+001 64366 68438,68536,68740
 1.0000e-001 68894 -9.9431e+001 -9.6470e+001  4.7048e+001 64366 68412,68536,68868
 1.0000e-001 69172 -4.1286e+001 -7.6253e+001  3.4706e+001 64168 69022,69074,69048
 1.0000e-001 69149 -5.2358e+001 -2.2254e+001  3.4843e+001 64168 68996,69074,69022
 1.0000e-001 69126 -7.2892e+001 -6.3345e+001  1.4139e+001 64168 68996,69100,69074
 1.0000e-001 69371 -1.2379e+002 -5.5259e+001  9.7617e+001 63970 69466,69394,69273
 1.0000e-001 69348 -1.3082e+002 -8.0483e+001  8.7840e+001 63970 69394,69247,69221
 1.0000e-001 69325 -2.0295e+002 -8.6101e+001  7.5359e+001 63970 69195,69299,69221
 1.0000e-001 69420 -1.2238e+002 -8.2625e+001  9.6101e+001 63970 69299,69273,69394
 1.0000e-001 69443 -1.2889e+002 -9.5403e+001  8.0904e+001 63970 69299,69394,69221
 1.0000e-001 69492 -1.3354e+002 -8.1758e+001  9.5005e+001 63970 69247,69394,69466
 1.0000e-001 69904 -1.9033e+000 -6.5971e+001  3.7828e+001 63680 69705,69783,69731
 1.0000e-001 69881  4.3784e+001 -3.3780e+001  2.2643e+001 63680 69679,69783,69705
 1.0000e-001 69858 -6.5833e+001 -1.3011e+002  6.3483e+001 63680 69679,69809,69783
 1.0000e-001 69835 -5.8940e+001 -6.9054e+001  3.2866e+001 63680 69731,69783,69757
 1.0000e-001 70054  1.1564e+001 -3.0601e+001  2.4204e+001 63476 70077,69953,69927
