time crIndex gridPoint
f i i
 5.0000e-002 70101 70456
 5.0000e-002 70434 70482
 5.0000e-002 68439 70508
 5.0000e-002 68338 70534
 5.0000e-002 70145 70560
 5.0000e-002 69903 70677
 5.0000e-002 70655 70703
 5.0000e-002 494 70729
 5.0000e-002 67143 70755
 5.0000e-002 65867 70781
 5.0000e-002 66293 70807
 5.0000e-002 69947 70833
 5.0000e-002 66945 70974
 5.0000e-002 62666 71000
 5.0000e-002 60921 71026
 5.0000e-002 61239 71052
 5.0000e-002 67800 71078
 5.0000e-002 69749 71104
 5.0000e-002 69459 71438
 5.0000e-002 69415 71464
 5.0000e-002 69727 71490
 5.0000e-002 69217 71644
 5.0000e-002 71539 71670
 5.0000e-002 66583 71696
 5.0000e-002 71561 71722
 5.0000e-002 66844 71748
 5.0000e-002 69261 71774
 5.0000e-002 68615 71892
 5.0000e-002 69063 71918
 5.0000e-002 69019 71944
 5.0000e-002 69239 71970
 5.0000e-002 66866 72042
 5.0000e-002 63292 72068
 5.0000e-002 62383 72094
 5.0000e-002 61368 72120
 5.0000e-002 61800 72146
 5.0000e-002 64846 72172
 5.0000e-002 68637 72198
 5.0000e-002 68417 72590
 5.0000e-002 72568 72616
 5.0000e-002 65691 72642
 5.0000e-002 63846 72668
 5.0000e-002 63774 72694
 5.0000e-002 72485 72720
 5.0000e-002 68461 72746
 5.0000e-002 63796 73047
 5.0000e-002 72968 73073
 5.0000e-002 61872 73099
 5.0000e-002 58586 73125
 5.0000e-002 59075 73151
 5.0000e-002 72887 73177
 5.0000e-002 68099 73203
 5.0000e-002 67822 73366
 5.0000e-002 65329 73392
 5.0000e-002 64947 73418
 5.0000e-002 67923 73444
 5.0000e-002 67879 73470
 5.0000e-002 73344 73496
 5.0000e-002 69437 73522
 5.0000e-002 67631 73663
 5.0000e-002 516 73689
 5.0000e-002 67341 73715
 5.0000e-002 67675 73741
 5.0000e-002 64868 73815
 5.0000e-002 64493 73841
 5.0000e-002 65590 73867
 5.0000e-002 67363 73893
 5.0000e-002 67319 73919
 5.0000e-002 69041 73945
 5.0000e-002 67121 74065
 5.0000e-002 62716 74091
 5.0000e-002 67165 74117
 5.0000e-002 63746 74190
 5.0000e-002 63371 74216
 5.0000e-002 66967 74242
 5.0000e-002 66923 74268
 5.0000e-002 74168 74294
 5.0000e-002 69925 74320
 5.0000e-002 68360 74602
 5.0000e-002 68077 74628
 5.0000e-002 61979 74654
 5.0000e-002 74523 74680
 5.0000e-002 61900 74706
 5.0000e-002 63270 74732
 5.0000e-002 66605 74758
 5.0000e-002 74440 74784
 5.0000e-002 66561 74810
 5.0000e-002 70123 74836
 5.0000e-002 63896 75046
 5.0000e-002 63975 75072
 5.0000e-002 65713 75098
 5.0000e-002 65669 75124
 5.0000e-002 67901 75150
 5.0000e-002 62738 75245
 5.0000e-002 62694 75271
 5.0000e-002 60077 75297
 5.0000e-002 60338 75323
 5.0000e-002 62766 75349
 5.0000e-002 65889 75375
 5.0000e-002 62788 75495
