time zIndex S11 S22 S12 block gridPoints
f i f f f i l
 1.0000e-001 66230 -4.7303e+000  8.2180e+000  1.0023e+000 65954 66152,66204,66178
 1.0000e-001 66429 -9.9282e-001  1.1315e+001  1.6183e+000 65642 66279,66331,66305
 1.0000e-001 66406  1.3850e+000  1.5933e+001  7.5021e-001 65642 66279,66357,66331
 1.0000e-001 66383  5.0083e+000  1.1804e+001  1.4888e+000 65642 66253,66357,66279
 1.0000e-001 66628 -9.1494e-001  1.1982e+001 -1.8306e-001 65444 66452,66530,66478
 1.0000e-001 66605  2.9899e-001  1.1212e+001 -4.1496e-001 65444 66452,66556,66530
 1.0000e-001 66582 -2.4675e+000  1.1928e+001  2.2182e-001 65444 66478,66530,66504
 1.0000e-001 67006  7.5185e-001  6.0592e+000  5.9468e-001 65246 66732,66810,66758
 1.0000e-001 66983  3.6072e-001  5.3647e+000  3.6801e-001 65246 66732,66836,66810
 1.0000e-001 66960  8.2790e-001  5.9038e+000  8.1588e-001 65246 66732,66862,66836
 1.0000e-001 66937  1.6981e+000  8.3082e+000  3.3308e-001 65246 66758,66810,66784
 1.0000e-001 66914 -2.0352e-001  5.9736e+000  1.8113e+000 65246 66732,66888,66862
 1.0000e-001 67107 -2.1841e+000  2.2844e+000  8.3728e-001 64934 67029,67081,67055
 1.0000e-001 67306 -1.6889e+000  7.4686e+000 -8.7536e-001 64736 67156,67208,67182
 1.0000e-001 67283 -7.0960e-001  1.0379e+001 -1.7388e+000 64736 67130,67208,67156
 1.0000e-001 67260  1.7174e+000  1.0806e+001 -5.1056e-001 64736 67130,67234,67208
 1.0000e-001 67507 -2.8351e+000  8.1734e+000  8.4622e-001 64389 67357,67409,67383
 1.0000e-001 67484 -1.2271e+000  9.0084e+000  1.5435e+000 64389 67357,67435,67409
 1.0000e-001 67461  8.0306e-001  9.7956e+000  1.1028e+000 64389 67331,67435,67357
 1.0000e-001 67708  1.6553e-002  7.5472e+000 -1.7687e+000 63985 67731,67584,67558
 1.0000e-001 67685 -2.2537e-001  5.2788e+000 -1.2016e+000 63985 67731,67558,67636
 1.0000e-001 67662  4.6487e-001  7.2196e+000  7.4120e-001 63985 67532,67636,67558
 1.0000e-001 67757 -3.4900e-001  8.9493e+000 -1.9505e+000 63985 67610,67584,67731
 1.0000e-001 67780 -9.1491e-002  7.3460e+000 -1.3933e+000 63985 67610,67731,67636
 1.0000e-001 67981 -1.3555e+000  6.4613e+000  5.3058e-001 63787 67857,67909,67883
 1.0000e-001 67958  1.5431e+000  8.6495e+000 -4.2824e-001 63787 67831,67909,67857
 1.0000e-001 67935  2.9394e+000  9.1849e+000  4.8671e-001 63787 67805,67909,67831
 1.0000e-001 68231  1.0316e+000  5.2922e+000  4.7963e-001 63589 68254,68084,68032
 1.0000e-001 68208  1.2702e+000  6.7094e+000  5.8016e-001 63589 68254,68032,68006
 1.0000e-001 68185  7.5642e-001  6.5993e+000  1.2762e-001 63589 68326,68136,68110
 1.0000e-001 68162  1.1840e+000  5.3474e+000  5.0575e-001 63589 68032,68084,68058
 1.0000e-001 68280  1.3610e+000  6.4372e+000  3.7822e-001 63589 68110,68084,68254
 1.0000e-001 68303  8.2498e-001  6.6439e+000  4.7221e-001 63589 68326,68110,68254
 1.0000e-001 68352  1.0978e+000  7.3711e+000  6.6615e-002 63589 68006,68136,68326
 1.0000e-001 68375  1.0716e+000  7.2137e+000  4.2535e-001 63589 68006,68326,68254
 1.0000e-001 68836 -2.8955e+000  5.9893e+000 -2.2187e-001 63128 68859,68588,68562
 1.0000e-001 68813  1.5512e+000  8.4430e+000 -1.2280e+000 63128 68859,68562,68692
 1.0000e-001 68790  4.3290e+000  6.9316e+000  1.4390e+000 63128 68614,68692,68666
 1.0000e-001 68767  4.3344e+000  7.0143e+000 -1.1752e+000 63128 68562,68718,68692
 1.0000e-001 68744  3.8830e+000  5.9114e+000  1.5578e+000 63128 68614,68666,68640
 1.0000e-001 68885 -3.7662e+000  4.3397e+000  4.0929e+000 63128 68614,68588,68859
 1.0000e-001 68908  3.7726e-001  6.8427e+000  3.0211e+000 63128 68614,68859,68692
 1.0000e-001 69237  1.2758e-001  4.4906e+000  7.0762e-002 62731 69064,69116,69090
 1.0000e-001 69214  2.2792e-001  4.2187e+000  4.7825e-002 62731 69064,69142,69116
 1.0000e-001 69191  6.8264e-001  7.5866e+000  3.9183e-001 62731 69038,69142,69064
 1.0000e-001 69168 -5.7899e-001  5.8180e+000 -1.6821e-001 62731 69012,69142,69038
 1.0000e-001 69539  3.8154e-001  1.3330e-001  3.8655e-001 62433 69389,69467,69441
 1.0000e-001 69516  1.1010e+000 -1.9495e+000  6.9156e-001 62433 69363,69467,69389
 1.0000e-001 69493  2.5534e-001  1.4400e-001  1.9003e-001 62433 69389,69441,69415
 1.0000e-001 69966 -4.2376e+000  1.2999e+001 -4.2813e-001 62235 69989,69773,69721
 1.0000e-001 69943  4.1206e+000  1.5860e+001 -2.3285e-001 62235 70061,69989,69721
 1.0000e-001 69920  5.8784e+000  1.6564e+001  7.4254e-001 62235 70061,69721,69643
 1.0000e-001 69897 -2.2604e+000  1.6428e+001 -1.5790e+000 62235 69721,69773,69747
 1.0000e-001 69874  7.6999e+000  2.6024e+001  3.5378e+000 62235 69643,69721,69695
 1.0000e-001 69851 -3.7900e-001  1.9220e+001 -2.4726e+000 62235 69643,69695,69669
 1.0000e-001 70015 -7.7715e+000  1.3227e+001  6.5035e+000 62235 69799,69773,69989
 1.0000e-001 70038  3.3885e+000  1.7529e+001  5.1646e+000 62235 69799,69989,69825
 1.0000e-001 70087  1.1107e+000  1.7440e+001  5.1891e-004 62235 69825,69989,70061
 1.0000e-001 70110  3.3634e+000  1.8168e+001  5.9537e-001 62235 69825,70061,69643
 1.0000e-001 70260  5.9397e-002  7.1229e+000 -2.7605e+000 62037 70133,70185,70159
 1.0000e-001 70237  9.4412e-001  1.0314e+001 -2.6523e+000 62037 70133,70211,70185
 1.0000e-001 70640 -1.2236e+000  6.0262e+000 -3.5498e+000 61583 70735,70663,70418
 1.0000e-001 70617  2.9137e+000  1.1045e+001 -2.7401e+000 61583 70663,70366,70522
 1.0000e-001 70594 -1.8387e+000  5.8182e+000 -4.4638e+000 61583 70735,70418,70392
 1.0000e-001 70571 -1.7667e+000  3.4783e+000 -3.3883e+000 61583 70418,70496,70444
 1.0000e-001 70548  1.0500e+000  8.3297e-001 -3.0313e+000 61583 70444,70496,70470
 1.0000e-001 70689  2.0105e+000  5.0047e+000 -2.6736e+000 61583 70496,70418,70663
 1.0000e-001 70712  3.3452e+000  5.6945e+000 -3.1887e+000 61583 70496,70663,70522
 1.0000e-001 70761  1.0486e+000  6.6919e+000 -2.5860e+000 61583 70366,70663,70735
 1.0000e-001 70784 -3.4367e-001  6.1467e+000 -3.4731e+000 61583 70366,70735,70392
 1.0000e-001 71054 -1.0469e+000  6.7862e+000 -2.5535e+000 61313 71077,70881,70855
 1.0000e-001 71031 -3.0966e+000  3.1556e+000 -3.5071e+000 61313 71077,70855,70829
 1.0000e-001 71008  1.1932e+000  1.2126e+000 -2.2959e+000 61313 70829,70959,70933
 1.0000e-001 70985 -1.3192e+000  2.7686e+000  4.1603e-001 61313 70881,70933,70907
 1.0000e-001 71103  3.5230e-001  4.9966e+000 -3.6446e-001 61313 70933,70881,71077
