time crIndex gridPoint
f i i
 4.0000e-001 239092 239316
 4.0000e-001 238802 239342
 4.0000e-001 239136 239368
 4.0000e-001 238780 239575
 4.0000e-001 233518 239601
 4.0000e-001 223321 239627
 4.0000e-001 239496 239653
 4.0000e-001 223400 239679
 4.0000e-001 226872 239705
 4.0000e-001 239417 239731
 4.0000e-001 238824 239757
 4.0000e-001 226894 240022
 4.0000e-001 239921 240048
 4.0000e-001 226922 240074
 4.0000e-001 230654 240100
 4.0000e-001 238626 240126
 4.0000e-001 238582 240152
 4.0000e-001 240000 240178
 4.0000e-001 239114 240204
 4.0000e-001 238384 240440
 4.0000e-001 237096 240466
 4.0000e-001 237408 240492
 4.0000e-001 238428 240518
 4.0000e-001 238186 240693
 4.0000e-001 240590 240719
 4.0000e-001 236898 240745
 4.0000e-001 228768 240771
 4.0000e-001 228847 240797
 4.0000e-001 240612 240823
 4.0000e-001 238230 240849
 4.0000e-001 237988 240990
 4.0000e-001 235842 241016
 4.0000e-001 236154 241042
 4.0000e-001 236393 241068
 4.0000e-001 238032 241094
 4.0000e-001 237720 241189
 4.0000e-001 237676 241215
 4.0000e-001 238010 241241
 4.0000e-001 230576 241292
 4.0000e-001 230315 241318
 4.0000e-001 230271 241344
 4.0000e-001 238406 241370
 4.0000e-001 237074 241444
 4.0000e-001 234936 241470
 4.0000e-001 231328 241496
 4.0000e-001 231407 241522
 4.0000e-001 232305 241548
 4.0000e-001 237118 241574
 4.0000e-001 236472 241694
 4.0000e-001 236920 241720
 4.0000e-001 236876 241746
 4.0000e-001 238604 241772
 4.0000e-001 230676 241929
 4.0000e-001 227341 241955
 4.0000e-001 227001 241981
 4.0000e-001 241846 242007
 4.0000e-001 227262 242033
 4.0000e-001 228746 242059
 4.0000e-001 236494 242085
 4.0000e-001 236415 242545
 4.0000e-001 233687 242571
 4.0000e-001 229767 242597
 4.0000e-001 242442 242623
 4.0000e-001 230142 242649
 4.0000e-001 233342 242675
 4.0000e-001 233298 242701
 4.0000e-001 242523 242727
 4.0000e-001 237698 242753
 4.0000e-001 235820 242940
 4.0000e-001 235134 242966
 4.0000e-001 233794 242992
 4.0000e-001 233715 243018
 4.0000e-001 235864 243044
 4.0000e-001 235622 243139
 4.0000e-001 235332 243165
 4.0000e-001 235666 243191
 4.0000e-001 224215 243404
 4.0000e-001 243325 243430
 4.0000e-001 224143 243456
 4.0000e-001 243242 243482
 4.0000e-001 230604 243508
 4.0000e-001 235354 243534
 4.0000e-001 235310 243560
 4.0000e-001 238208 243586
 4.0000e-001 230626 243975
 4.0000e-001 227753 244001
 4.0000e-001 228128 244027
 4.0000e-001 243894 244053
 4.0000e-001 235156 244079
 4.0000e-001 235112 244105
 4.0000e-001 235644 244131
 4.0000e-001 234914 244272
