time crIndex gridPoint
f i i
 4.0000e-001 239096 239320
 4.0000e-001 238806 239346
 4.0000e-001 239140 239372
 4.0000e-001 238784 239579
 4.0000e-001 233522 239605
 4.0000e-001 223325 239631
 4.0000e-001 239500 239657
 4.0000e-001 223404 239683
 4.0000e-001 226876 239709
 4.0000e-001 239421 239735
 4.0000e-001 238828 239761
 4.0000e-001 226898 240026
 4.0000e-001 239925 240052
 4.0000e-001 226926 240078
 4.0000e-001 230658 240104
 4.0000e-001 238630 240130
 4.0000e-001 238586 240156
 4.0000e-001 240004 240182
 4.0000e-001 239118 240208
 4.0000e-001 238388 240444
 4.0000e-001 237100 240470
 4.0000e-001 237412 240496
 4.0000e-001 238432 240522
 4.0000e-001 238190 240697
 4.0000e-001 240594 240723
 4.0000e-001 236902 240749
 4.0000e-001 228772 240775
 4.0000e-001 228851 240801
 4.0000e-001 240616 240827
 4.0000e-001 238234 240853
 4.0000e-001 237992 240994
 4.0000e-001 235846 241020
 4.0000e-001 236158 241046
 4.0000e-001 236397 241072
 4.0000e-001 238036 241098
 4.0000e-001 237724 241193
 4.0000e-001 237680 241219
 4.0000e-001 238014 241245
 4.0000e-001 230580 241296
 4.0000e-001 230319 241322
 4.0000e-001 230275 241348
 4.0000e-001 238410 241374
 4.0000e-001 237078 241448
 4.0000e-001 234940 241474
 4.0000e-001 231332 241500
 4.0000e-001 231411 241526
 4.0000e-001 232309 241552
 4.0000e-001 237122 241578
 4.0000e-001 236476 241698
 4.0000e-001 236924 241724
 4.0000e-001 236880 241750
 4.0000e-001 238608 241776
 4.0000e-001 230680 241933
 4.0000e-001 227345 241959
 4.0000e-001 227005 241985
 4.0000e-001 241850 242011
 4.0000e-001 227266 242037
 4.0000e-001 228750 242063
 4.0000e-001 236498 242089
 4.0000e-001 236419 242549
 4.0000e-001 233691 242575
 4.0000e-001 229771 242601
 4.0000e-001 242446 242627
 4.0000e-001 230146 242653
 4.0000e-001 233346 242679
 4.0000e-001 233302 242705
 4.0000e-001 242527 242731
 4.0000e-001 237702 242757
 4.0000e-001 235824 242944
 4.0000e-001 235138 242970
 4.0000e-001 233798 242996
 4.0000e-001 233719 243022
 4.0000e-001 235868 243048
 4.0000e-001 235626 243143
 4.0000e-001 235336 243169
 4.0000e-001 235670 243195
 4.0000e-001 224219 243408
 4.0000e-001 243329 243434
 4.0000e-001 224147 243460
