time crIndex gridPoint
f i i
 4.0000e-001 238531 238746
 4.0000e-001 238724 238772
 4.0000e-001 229948 238798
 4.0000e-001 227508 238824
 4.0000e-001 227126 238850
 4.0000e-001 234771 238876
 4.0000e-001 238575 238902
 4.0000e-001 238333 239115
 4.0000e-001 233681 239141
 4.0000e-001 233993 239167
 4.0000e-001 238377 239193
 4.0000e-001 238135 239265
 4.0000e-001 237845 239291
 4.0000e-001 238179 239317
 4.0000e-001 237823 239366
 4.0000e-001 233483 239392
 4.0000e-001 229232 239418
 4.0000e-001 229658 239444
 4.0000e-001 232482 239470
 4.0000e-001 237867 239496
 4.0000e-001 237625 239719
 4.0000e-001 239614 239745
 4.0000e-001 235572 239771
 4.0000e-001 235941 239797
 4.0000e-001 239636 239823
 4.0000e-001 237669 239849
 4.0000e-001 237427 239967
 4.0000e-001 237137 239993
 4.0000e-001 237471 240019
 4.0000e-001 232504 240068
 4.0000e-001 228763 240094
 4.0000e-001 228331 240120
 4.0000e-001 233092 240146
 4.0000e-001 237159 240172
 4.0000e-001 237115 240198
 4.0000e-001 238157 240224
 4.0000e-001 235493 240367
 4.0000e-001 235061 240393
 4.0000e-001 236961 240419
 4.0000e-001 236917 240445
 4.0000e-001 237647 240471
 4.0000e-001 236719 240590
 4.0000e-001 240568 240616
 4.0000e-001 232037 240642
 4.0000e-001 231747 240668
 4.0000e-001 232432 240694
 4.0000e-001 236763 240720
 4.0000e-001 236521 240840
 4.0000e-001 480 240866
 4.0000e-001 236231 240892
 4.0000e-001 236565 240918
 4.0000e-001 236209 240992
 4.0000e-001 234573 241018
 4.0000e-001 227848 241044
 4.0000e-001 227927 241070
 4.0000e-001 232844 241096
 4.0000e-001 236253 241122
 4.0000e-001 225436 241404
 4.0000e-001 241242 241430
 4.0000e-001 225515 241456
 4.0000e-001 226438 241482
 4.0000e-001 241325 241508
 4.0000e-001 226394 241534
 4.0000e-001 236939 241560
 4.0000e-001 233114 241773
 4.0000e-001 226585 241799
 4.0000e-001 226613 241825
 4.0000e-001 235594 241851
 4.0000e-001 235550 241877
 4.0000e-001 237449 241903
