time crIndex gridPoint
f i i
 4.0000e-001 239090 239314
 4.0000e-001 238800 239340
 4.0000e-001 239134 239366
 4.0000e-001 238778 239573
 4.0000e-001 233630 239599
 4.0000e-001 223319 239625
 4.0000e-001 239494 239651
 4.0000e-001 223398 239677
 4.0000e-001 227041 239703
 4.0000e-001 239415 239729
 4.0000e-001 238822 239755
 4.0000e-001 227063 240020
 4.0000e-001 239919 240046
 4.0000e-001 227091 240072
 4.0000e-001 230823 240098
 4.0000e-001 238624 240124
 4.0000e-001 238580 240150
 4.0000e-001 239998 240176
 4.0000e-001 239112 240202
 4.0000e-001 238382 240438
 4.0000e-001 237094 240464
 4.0000e-001 237406 240490
 4.0000e-001 238426 240516
 4.0000e-001 238184 240693
 4.0000e-001 240588 240719
 4.0000e-001 236896 240745
 4.0000e-001 228937 240771
 4.0000e-001 229016 240797
 4.0000e-001 240610 240823
 4.0000e-001 238228 240849
 4.0000e-001 237986 240990
 4.0000e-001 235840 241016
 4.0000e-001 236152 241042
 4.0000e-001 236391 241068
 4.0000e-001 238030 241094
 4.0000e-001 237718 241189
 4.0000e-001 237674 241215
 4.0000e-001 238008 241241
 4.0000e-001 230745 241292
 4.0000e-001 230484 241318
 4.0000e-001 230440 241344
 4.0000e-001 238404 241370
 4.0000e-001 237072 241444
 4.0000e-001 234934 241470
 4.0000e-001 231497 241496
 4.0000e-001 231576 241522
 4.0000e-001 232531 241548
 4.0000e-001 237116 241574
 4.0000e-001 236470 241694
 4.0000e-001 236918 241720
 4.0000e-001 236874 241746
 4.0000e-001 238602 241772
 4.0000e-001 230845 241929
 4.0000e-001 227510 241955
 4.0000e-001 227170 241981
 4.0000e-001 241846 242007
 4.0000e-001 227431 242033
 4.0000e-001 228915 242059
 4.0000e-001 236492 242085
 4.0000e-001 236413 242545
 4.0000e-001 233799 242571
 4.0000e-001 229936 242597
 4.0000e-001 242442 242623
 4.0000e-001 230311 242649
 4.0000e-001 233454 242675
 4.0000e-001 233410 242701
 4.0000e-001 242523 242727
 4.0000e-001 237696 242753
 4.0000e-001 235818 242940
 4.0000e-001 235132 242966
 4.0000e-001 233906 242992
 4.0000e-001 233827 243018
 4.0000e-001 235862 243044
 4.0000e-001 235620 243139
 4.0000e-001 235330 243165
 4.0000e-001 235664 243191
