time crIndex gridPoint
f i i
 5.0000e-001 231 321
 5.0000e-001 297 347
 5.0000e-001 275 373
 5.0000e-001 253 399
 1.0000e+000 231 321
 1.0000e+000 297 347
 1.0000e+000 275 373
 1.0000e+000 253 399
 1.5000e+000 231 321
 1.5000e+000 297 347
 1.5000e+000 275 373
 1.5000e+000 253 399
 2.0000e+000 231 321
 2.0000e+000 297 347
 2.0000e+000 275 373
 2.0000e+000 253 399
 2.5000e+000 231 321
 2.5000e+000 297 347
 2.5000e+000 275 373
 2.5000e+000 253 399
 3.0000e+000 231 321
 3.0000e+000 297 347
 3.0000e+000 275 373
 3.0000e+000 253 399
 3.5000e+000 231 321
 3.5000e+000 297 347
 3.5000e+000 275 373
 3.5000e+000 253 399
 4.0000e+000 231 321
 4.0000e+000 297 347
 4.0000e+000 275 373
 4.0000e+000 253 399
 4.5000e+000 231 321
 4.5000e+000 297 347
 4.5000e+000 275 373
 4.5000e+000 253 399
 5.0000e+000 231 321
 5.0000e+000 297 347
 5.0000e+000 275 373
 5.0000e+000 253 399
 5.5000e+000 231 321
 5.5000e+000 297 347
 5.5000e+000 275 373
 5.5000e+000 253 399
 6.0000e+000 231 321
 6.0000e+000 297 347
 6.0000e+000 275 373
 6.0000e+000 253 399
 6.5000e+000 231 321
 6.5000e+000 297 347
 6.5000e+000 275 373
 6.5000e+000 253 399
 7.0000e+000 231 321
 7.0000e+000 297 347
 7.0000e+000 275 373
 7.0000e+000 253 399
 7.5000e+000 231 321
 7.5000e+000 297 347
 7.5000e+000 275 373
 7.5000e+000 253 399
 8.0000e+000 231 321
 8.0000e+000 297 347
 8.0000e+000 275 373
 8.0000e+000 253 399
 8.5000e+000 231 321
 8.5000e+000 297 347
 8.5000e+000 275 373
 8.5000e+000 253 399
 9.0000e+000 231 321
 9.0000e+000 297 347
 9.0000e+000 275 373
 9.0000e+000 253 399
 9.5000e+000 231 321
 9.5000e+000 297 347
 9.5000e+000 275 373
 9.5000e+000 253 399
 1.0000e+001 231 321
 1.0000e+001 297 347
 1.0000e+001 275 373
 1.0000e+001 253 399
