time crIndex gridPoint
f i i
 1.0000e-001 65184 65388
 1.0000e-001 275 65414
 1.0000e-001 60702 65440
 1.0000e-001 60601 65466
 1.0000e-001 65228 65492
 1.0000e-001 64986 65609
 1.0000e-001 65587 65635
 1.0000e-001 63636 65661
 1.0000e-001 60340 65687
 1.0000e-001 59936 65713
 1.0000e-001 59857 65739
 1.0000e-001 65030 65765
 1.0000e-001 64102 65906
 1.0000e-001 64520 65932
 1.0000e-001 64832 65958
 1.0000e-001 64498 66007
 1.0000e-001 61944 66033
 1.0000e-001 59446 66059
 1.0000e-001 59367 66085
 1.0000e-001 60963 66111
 1.0000e-001 64542 66137
 1.0000e-001 62920 66279
 1.0000e-001 63346 66305
 1.0000e-001 64344 66331
 1.0000e-001 64300 66357
 1.0000e-001 66257 66383
 1.0000e-001 65008 66409
 1.0000e-001 60985 66529
 1.0000e-001 61064 66555
 1.0000e-001 61417 66581
 1.0000e-001 64146 66607
 1.0000e-001 64810 66633
 1.0000e-001 63834 66824
 1.0000e-001 63614 66850
 1.0000e-001 66802 66876
 1.0000e-001 64124 66902
 1.0000e-001 61439 66976
 1.0000e-001 59729 67002
 1.0000e-001 58942 67028
 1.0000e-001 59317 67054
 1.0000e-001 63658 67080
 1.0000e-001 63812 67106
 1.0000e-001 59779 67331
 1.0000e-001 59807 67357
 1.0000e-001 67248 67383
 1.0000e-001 62164 67409
 1.0000e-001 62120 67435
 1.0000e-001 297 67461
 1.0000e-001 67226 67487
 1.0000e-001 64322 67513
 1.0000e-001 59879 67677
 1.0000e-001 58281 67703
 1.0000e-001 57906 67729
 1.0000e-001 58359 67755
 1.0000e-001 62942 67781
 1.0000e-001 62318 68042
 1.0000e-001 62766 68068
 1.0000e-001 62722 68094
 1.0000e-001 68020 68120
 1.0000e-001 65206 68146
 1.0000e-001 60623 68243
 1.0000e-001 56976 68269
 1.0000e-001 57055 68295
 1.0000e-001 57351 68321
 1.0000e-001 58863 68347
 1.0000e-001 62340 68373
 1.0000e-001 58381 68637
 1.0000e-001 56564 68663
 1.0000e-001 54351 68689
 1.0000e-001 54777 68715
 1.0000e-001 56904 68741
 1.0000e-001 59757 68767
 1.0000e-001 63324 68793
 1.0000e-001 58885 69296
 1.0000e-001 58438 69322
 1.0000e-001 58813 69348
 1.0000e-001 61966 69374
 1.0000e-001 61922 69400
 1.0000e-001 62744 69426
 1.0000e-001 59829 69723
 1.0000e-001 69640 69749
 1.0000e-001 56926 69775
 1.0000e-001 54294 69801
 1.0000e-001 53407 69827
 1.0000e-001 53385 69853
 1.0000e-001 69618 69879
 1.0000e-001 61540 69905
 1.0000e-001 61518 70213
 1.0000e-001 61496 70239
 1.0000e-001 62142 70265
 1.0000e-001 60680 70314
 1.0000e-001 56665 70340
 1.0000e-001 56954 70366
 1.0000e-001 60724 70392
 1.0000e-001 59339 70466
 1.0000e-001 58331 70492
 1.0000e-001 57430 70518
 1.0000e-001 57805 70544
 1.0000e-001 60362 70570
 1.0000e-001 57827 70739
 1.0000e-001 53840 70765
 1.0000e-001 53919 70791
 1.0000e-001 56442 70817
 1.0000e-001 58259 70843
 1.0000e-001 59958 70869
 1.0000e-001 58835 71216
 1.0000e-001 55606 71242
 1.0000e-001 55045 71268
 1.0000e-001 55534 71294
 1.0000e-001 71133 71320
 1.0000e-001 59468 71346
 1.0000e-001 56514 71536
 1.0000e-001 53740 71562
 1.0000e-001 53768 71588
 1.0000e-001 58309 71614
 1.0000e-001 58964 71640
 1.0000e-001 57373 71897
 1.0000e-001 51510 71923
 1.0000e-001 71735 71949
 1.0000e-001 51438 71975
 1.0000e-001 71818 72001
 1.0000e-001 55584 72027
 1.0000e-001 58460 72053
 1.0000e-001 59389 72266
 1.0000e-001 56181 72292
 1.0000e-001 55685 72318
 1.0000e-001 56492 72344
 1.0000e-001 59707 72370
 1.0000e-001 61042 72396
 1.0000e-001 53790 72586
 1.0000e-001 52881 72612
 1.0000e-001 52015 72638
 1.0000e-001 51936 72664
 1.0000e-001 53818 72690
 1.0000e-001 57452 72716
 1.0000e-001 56464 72919
 1.0000e-001 52831 72945
 1.0000e-001 52759 72971
 1.0000e-001 72836 72997
 1.0000e-001 56542 73023
 1.0000e-001 57884 73049
 1.0000e-001 52931 73327
 1.0000e-001 49249 73353
 1.0000e-001 73248 73379
 1.0000e-001 49328 73405
 1.0000e-001 49674 73431
 1.0000e-001 51488 73457
 1.0000e-001 73167 73483
 1.0000e-001 57033 73509
 1.0000e-001 55556 73898
 1.0000e-001 73817 73924
 1.0000e-001 52981 73950
 1.0000e-001 53060 73976
 1.0000e-001 53668 74002
 1.0000e-001 56203 74028
 1.0000e-001 56621 74218
 1.0000e-001 52463 74244
 1.0000e-001 52909 74270
 1.0000e-001 56643 74296
 1.0000e-001 51460 74451
 1.0000e-001 74368 74477
 1.0000e-001 49696 74503
 1.0000e-001 48234 74529
 1.0000e-001 48313 74555
 1.0000e-001 48666 74581
 1.0000e-001 51098 74607
 1.0000e-001 52959 74633
 1.0000e-001 55067 74659
 1.0000e-001 53690 75062
 1.0000e-001 51660 75088
 1.0000e-001 51588 75114
 1.0000e-001 52859 75140
 1.0000e-001 53718 75166
 1.0000e-001 55663 75192
 1.0000e-001 52781 75623
 1.0000e-001 75465 75649
 1.0000e-001 50780 75675
 1.0000e-001 75382 75701
 1.0000e-001 50859 75727
 1.0000e-001 51538 75753
 1.0000e-001 75544 75779
 1.0000e-001 54373 75805
 1.0000e-001 51560 76194
 1.0000e-001 76113 76220
 1.0000e-001 49199 76246
 1.0000e-001 48767 76272
 1.0000e-001 51688 76298
 1.0000e-001 54272 76324
 1.0000e-001 54755 76350
 1.0000e-001 51710 76563
 1.0000e-001 51811 76589
 1.0000e-001 51767 76615
 1.0000e-001 53429 76641
 1.0000e-001 51958 76713
 1.0000e-001 50036 76739
 1.0000e-001 49775 76765
 1.0000e-001 51199 76791
 1.0000e-001 52809 76817
 1.0000e-001 53897 76843
 1.0000e-001 51120 77179
 1.0000e-001 50093 77205
 1.0000e-001 50519 77231
 1.0000e-001 51638 77257
 1.0000e-001 53038 77283
 1.0000e-001 51610 77452
 1.0000e-001 46652 77478
 1.0000e-001 46731 77504
 1.0000e-001 47668 77530
 1.0000e-001 50014 77556
 1.0000e-001 52037 77582
 1.0000e-001 52419 78008
 1.0000e-001 47306 78034
 1.0000e-001 77929 78060
 1.0000e-001 47567 78086
 1.0000e-001 49227 78112
 1.0000e-001 77846 78138
 1.0000e-001 52441 78164
 1.0000e-001 47929 78305
 1.0000e-001 48030 78331
 1.0000e-001 47986 78357
 1.0000e-001 51789 78383
 1.0000e-001 49646 78617
 1.0000e-001 45858 78643
 1.0000e-001 46341 78669
 1.0000e-001 78538 78695
 1.0000e-001 50758 78721
 1.0000e-001 78455 78747
 1.0000e-001 51177 78773
 1.0000e-001 45027 78986
 1.0000e-001 44076 79012
 1.0000e-001 43629 79038
 1.0000e-001 44004 79064
 1.0000e-001 45105 79090
 1.0000e-001 49177 79116
 1.0000e-001 50837 79142
 1.0000e-001 48688 79517
 1.0000e-001 43572 79543
 1.0000e-001 79438 79569
 1.0000e-001 42849 79595
 1.0000e-001 43275 79621
 1.0000e-001 43400 79647
 1.0000e-001 44855 79673
 1.0000e-001 79355 79699
 1.0000e-001 50115 79725
 1.0000e-001 44877 79993
 1.0000e-001 79912 80019
 1.0000e-001 44905 80045
 1.0000e-001 46630 80071
 1.0000e-001 50497 80097
 1.0000e-001 42642 80352
 1.0000e-001 80192 80378
 1.0000e-001 42670 80404
 1.0000e-001 43450 80430
 1.0000e-001 80273 80456
 1.0000e-001 49624 80482
 1.0000e-001 49753 80508
 1.0000e-001 47589 80809
 1.0000e-001 45603 80835
 1.0000e-001 41805 80861
 1.0000e-001 80649 80887
 1.0000e-001 40642 80913
 1.0000e-001 40146 80939
 1.0000e-001 42720 80965
 1.0000e-001 80730 80991
 1.0000e-001 48212 81017
 1.0000e-001 49306 81043
 1.0000e-001 45127 81541
 1.0000e-001 45055 81567
 1.0000e-001 46580 81593
 1.0000e-001 47907 81619
 1.0000e-001 48745 81645
 1.0000e-001 42742 81812
 1.0000e-001 82215 82166
 1.0000e-001 42770 81838
 1.0000e-001 82083 82034
 1.0000e-001 43550 81864
 1.0000e-001 82343 82294
 1.0000e-001 48291 81890
 1.0000e-001 46602 82422
 1.0000e-001 45206 82448
 1.0000e-001 45184 82474
 1.0000e-001 48008 82500
 1.0000e-001 47284 82677
 1.0000e-001 82572 82703
 1.0000e-001 45682 82729
 1.0000e-001 45581 82755
 1.0000e-001 47328 82781
 1.0000e-001 82594 82807
 1.0000e-001 42195 83006
 1.0000e-001 83254 83205
 1.0000e-001 42274 83032
 1.0000e-001 42620 83058
 1.0000e-001 82925 83084
 1.0000e-001 47646 83110
 1.0000e-001 44927 83414
 1.0000e-001 43422 83440
 1.0000e-001 39636 83466
 1.0000e-001 39068 83492
 1.0000e-001 39557 83518
 1.0000e-001 42173 83544
 1.0000e-001 83333 83570
 1.0000e-001 46709 83596
 1.0000e-001 43472 83985
 1.0000e-001 83904 84011
 1.0000e-001 43500 84037
 1.0000e-001 44955 84063
 1.0000e-001 45880 84089
 1.0000e-001 45660 84184
 1.0000e-001 41544 84210
 1.0000e-001 41934 84236
 1.0000e-001 45704 84262
 1.0000e-001 45077 84334
 1.0000e-001 44026 84360
 1.0000e-001 42592 84386
 1.0000e-001 38664 84412
 1.0000e-001 38282 84438
 1.0000e-001 39970 84464
 1.0000e-001 39926 84490
 1.0000e-001 45228 84516
 1.0000e-001 43522 84754
 1.0000e-001 42692 84780
 1.0000e-001 38153 84806
 1.0000e-001 37563 84832
 1.0000e-001 37109 84858
 1.0000e-001 37484 84884
 1.0000e-001 41833 84910
 1.0000e-001 44559 84936
 1.0000e-001 44977 85257
 1.0000e-001 44537 85283
 1.0000e-001 44155 85309
 1.0000e-001 45005 85335
 1.0000e-001 46319 85361
 1.0000e-001 85174 85387
 1.0000e-001 41443 85586
 1.0000e-001 37002 85612
 1.0000e-001 37030 85638
 1.0000e-001 85505 85664
 1.0000e-001 42570 85690
 1.0000e-001 43651 85716
 1.0000e-001 41855 85834
 1.0000e-001 41046 85860
 1.0000e-001 41421 85886
 1.0000e-001 44054 85912
 1.0000e-001 44133 85938
 1.0000e-001 42792 86195
 1.0000e-001 86033 86221
 1.0000e-001 37953 86247
 1.0000e-001 86116 86273
 1.0000e-001 37981 86299
 1.0000e-001 42871 86325
 1.0000e-001 38003 86524
 1.0000e-001 36369 86550
 1.0000e-001 36448 86576
 1.0000e-001 36858 86602
 1.0000e-001 86443 86628
 1.0000e-001 43253 86654
 1.0000e-001 39579 86853
 1.0000e-001 34873 86879
 1.0000e-001 87222 87173
 1.0000e-001 34901 86905
 1.0000e-001 86772 86931
 1.0000e-001 38131 86957
 1.0000e-001 42252 86983
 1.0000e-001 38103 87382
 1.0000e-001 38031 87408
 1.0000e-001 41783 87434
 1.0000e-001 87301 87460
 1.0000e-001 41912 87486
 1.0000e-001 37506 87581
 1.0000e-001 34369 87607
 1.0000e-001 33674 87633
 1.0000e-001 33935 87659
 1.0000e-001 36980 87685
 1.0000e-001 41068 87711
 1.0000e-001 38053 87984
 1.0000e-001 36029 88010
 1.0000e-001 34426 88036
 1.0000e-001 34801 88062
 1.0000e-001 87901 88088
 1.0000e-001 38181 88114
 1.0000e-001 40664 88140
 1.0000e-001 41500 88375
 1.0000e-001 88353 88401
 1.0000e-001 34036 88427
 1.0000e-001 34297 88453
 1.0000e-001 36007 88479
 1.0000e-001 38081 88505
 1.0000e-001 41522 88531
 1.0000e-001 38203 88755
 1.0000e-001 36086 88781
 1.0000e-001 34980 88807
 1.0000e-001 35355 88833
 1.0000e-001 36347 88859
 1.0000e-001 37931 88885
