time S11 S22 S12 LE11 LE22 LE12
0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.5 -17.315353125 -40.3997475 -3.33066907388e-18 0.0 -0.0025041 -0.001248919875
1.0 -34.7091912281 -80.9819617143 1.39125692309e-19 0.0 -0.00502596491228 -0.00250039241404
1.5 -52.1463708781 -121.664807486 0.0 0.0 -0.00756047799475 -0.00375181160012
2.0 -69.6274644476 -162.455605201 1.25846455617e-18 0.0 -0.0101080122521 -0.00500331444462
2.5 -87.1532174056 -203.343127165 0.0 0.0 -0.0126680606483 -0.00625460158389
3.0 -104.723128431 -244.337342019 5.62161011395e-19 0.0 -0.0152411236911 -0.00750587238977
3.5 -122.334950911 -285.430763389 0.0 0.0 -0.0178273008782 -0.0087571267374
4.0 -139.993918407 -326.630864938 0.0 0.0 -0.0204266927242 -0.0100083645006
4.5 -157.697534416 -367.93514649 0.0 0.0 -0.0230394007735 -0.011259585552
5.0 -175.445797508 -409.346098146 -2.27174198323e-18 0.0 -0.0256655276135 -0.0125107897628
5.5 -193.240691346 -450.858373799 8.54096550932e-19 0.0 -0.0283051768881 -0.0137621185289
6.0 -211.073763125 -492.475524727 0.0 0.0 -0.0309581349431 -0.0150131475406
6.5 -228.958441747 -534.193974069 0.0 0.0 -0.0336240849572 -0.0162638017734
7.0 -246.885262614 -576.024054208 5.02095921266e-19 0.0 -0.036304902883 -0.0175149373469
7.5 -264.85920871 -617.95827507 -1.15063326489e-18 0.0 -0.0389986319542 -0.0187655567169
8.0 -282.880278064 -660.004112555 0.0 0.0 -0.041707451396 -0.0200166571485
8.5 -300.940986602 -702.156571167 -5.78325497794e-19 0.0 -0.0444293959536 -0.0212672411081
9.0 -319.05714044 -744.420947407 -1.15968352705e-18 0.0 -0.047165613412 -0.0225180429832
9.5 -337.213734985 -786.77885516 0.0 0.0 -0.0499156935644 -0.0237683558046
10.0 -355.418279396 -829.248645599 -7.28615190363e-19 0.0 -0.0526807652729 -0.0250188856396
