time S11 S22 S12 LE11 LE22 LE12
0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.5 -3.13593e+06 -8.40167e+06 0.0 0.0 -0.000500125 0.0 
1.0 -6.27344e+06 -1.68076e+07 0.0 0.0 -0.0010005 0.0 
1.5 -9.41251e+06 -2.52176e+07 0.0 0.0 -0.00150113 0.0 
2.0 -1.25532e+07 -3.36319e+07 0.0 0.0 -0.002002 0.0 
2.5 -1.56954e+07 -4.20505e+07 0.0 0.0 -0.00250313 0.0 
3.0 -1.88392e+07 -5.04732e+07 0.0 0.0 -0.00300451 0.0 
3.5 -2.19845e+07 -5.89001e+07 0.0 0.0 -0.00350614 0.0 
4.0 -2.51315e+07 -6.73313e+07 0.0 0.0 -0.00400802 0.0 
4.5 -2.828e+07 -7.57668e+07 0.0 0.0 -0.00451016 0.0 
5.0 -3.14301e+07 -8.42064e+07 0.0 0.0 -0.00501254 0.0 
5.5 -3.45818e+07 -9.26503e+07 0.0 0.0 -0.00551518 0.0 
6.0 -3.77351e+07 -1.01098e+08 0.0 0.0 -0.00601807 0.0 
6.5 -4.089e+07 -1.09551e+08 0.0 0.0 -0.00652122 0.0 
7.0 -4.40464e+07 -1.18008e+08 0.0 0.0 -0.00702462 0.0 
7.5 -4.72045e+07 -1.26468e+08 0.0 0.0 -0.00752827 0.0 
8.0 -5.03641e+07 -1.34934e+08 0.0 0.0 -0.00803217 0.0 
8.5 -5.35253e+07 -1.43403e+08 0.0 0.0 -0.00853633 0.0 
9.0 -5.66882e+07 -1.51877e+08 0.0 0.0 -0.00904074 0.0 
9.5 -5.98526e+07 -1.60355e+08 0.0 0.0 -0.00954541 0.0 
10.0 -6.30186e+07 -1.68837e+08 0.0 0.0 -0.0100503 0.0 
