time S11 S22 S12 LE11 LE22 LE12
0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.5 -3466540.8625 -8087978.9875 0.0 0.0 -0.00050083 -0.0002502897925
1.0 -6941850.6003 -16196643.5718 0.0 0.0 -0.0010032016008 -0.0005010991996
1.5 -10418782.7828 -24309077.2022 0.0 0.0 -0.00150600600601 -0.000751873498498
2.0 -13897897.7316 -32425429.5744 0.0 0.0 -0.00200941412118 -0.0010026875994
2.5 -17378288.9207 -40546675.4827 0.0 0.0 -0.00251325163579 -0.00125347168709
3.0 -20860538.1758 -48671590.5824 -2.78254174133e-13 0.0 -0.00301767436265 -0.00150429558141
3.5 -24344784.7872 -56800249.9674 -2.78393721257e-13 0.0 -0.00352250273323 -0.00175506937432
4.0 -27830778.623 -64933402.6734 0.0 0.0 -0.0040279380626 -0.00200589301548
4.5 -31317955.3208 -73069815.1889 0.0 0.0 -0.00453378045964 -0.00225664388598
5.0 -34807258.5637 -81211939.16 0.0 0.0 -0.00504028207498 -0.00250748992948
5.5 -38298494.4622 -89357073.4688 0.0 0.0 -0.00554714667632 -0.00275826321333
6.0 -41791227.8326 -97506701.3766 0.0 0.0 -0.00605452095568 -0.00300903636976
6.5 -45286208.2939 -105659323.628 -1.3961838073e-13 0.0 -0.00656250628785 -0.00325985937343
7.0 -48782186.4708 -113815190.089 6.98443240318e-13 0.0 -0.00707090228288 -0.00351063227443
7.5 -52280134.8517 -121977319.634 -6.98794930805e-14 0.0 -0.00757991097504 -0.0037614171227
8.0 -55780134.1753 -130146899.806 -1.39830804033e-13 0.0 -0.00808941328201 -0.00401222764668
8.5 -59281854.053 -138312748.621 1.399012854e-13 0.0 -0.00859935280301 -0.0042630001618
9.0 -62785321.2755 -146488588.258 4.89901432493e-13 0.0 -0.00910990751107 -0.00451382252312
9.5 -66290535.8134 -154669421.173 7.00212307528e-14 0.0 -0.00962087651493 -0.00476459478087
10.0 -69796792.6237 -162848604.905 0.0 0.0 -0.0101325633285 -0.00501541619635
