Run   obj.function   $E            $nu           
1     1.536127E+13  7.000000E+09  4.000000E-01  
2     1.571404E+13  7.050000E+09  4.000000E-01  
3     1.665632E+13  7.000000E+09  4.040000E-01  
4     6.246051E+12  6.903046E+09  3.600000E-01  
5     6.186591E+12  6.893802E+09  3.600000E-01  
6     6.291529E+12  6.911529E+09  3.600000E-01  
7     3.608337E+12  6.759898E+09  3.332343E-01  
8     1.421633E+12  6.259898E+09  3.228639E-01  
9     1.175122E+12  6.102416E+09  3.323328E-01  
10    7.611063E+11  5.966954E+09  3.207563E-01  
11    5.586936E+11  5.841374E+09  3.272679E-01  
12    3.562400E+11  5.742937E+09  3.200578E-01  
13    3.398777E+11  5.657976E+09  3.233436E-01  
14    3.454572E+11  5.707976E+09  3.233436E-01  
15    4.428665E+11  5.657976E+09  3.273436E-01  
16    2.865789E+11  5.652839E+09  3.182397E-01  
17    2.862521E+11  5.652416E+09  3.182341E-01  
18    2.868957E+11  5.653235E+09  3.182452E-01  
19    2.693950E+11  5.591593E+09  3.169875E-01  
20    2.648869E+11  5.585455E+09  3.176039E-01  
21    2.605045E+11  5.575669E+09  3.171537E-01  
22    2.612818E+11  5.569643E+09  3.174067E-01  
23    2.720814E+11  5.625669E+09  3.171537E-01  
24    2.820288E+11  5.575669E+09  3.211537E-01  
25    2.595637E+11  5.564554E+09  3.177329E-01  
26    2.593293E+11  5.563605E+09  3.177274E-01  
27    2.597988E+11  5.565469E+09  3.177362E-01  
28    2.709517E+11  5.613605E+09  3.177274E-01  
29    2.872312E+11  5.563605E+09  3.217274E-01  
30    2.544790E+11  5.529658E+09  3.171417E-01  
31    2.544616E+11  5.529555E+09  3.171526E-01  
32    2.544929E+11  5.529781E+09  3.171299E-01  
33    2.510120E+11  5.528059E+09  3.172867E-01  
34    2.512072E+11  5.528596E+09  3.172796E-01  
35    2.625636E+11  5.578059E+09  3.172867E-01  
36    2.670842E+11  5.528059E+09  3.212867E-01  
37    2.381784E+11  5.522171E+09  3.181446E-01  
38    2.380425E+11  5.521737E+09  3.181447E-01  
39    2.378564E+11  5.522587E+09  3.181441E-01  
40    2.388179E+11  5.517949E+09  3.178526E-01  
41    2.603462E+11  5.572587E+09  3.181441E-01  
42    2.881142E+11  5.522587E+09  3.221441E-01  
43    2.509558E+11  5.509433E+09  3.165826E-01  
44    2.509010E+11  5.508424E+09  3.165741E-01  
45    2.510073E+11  5.510405E+09  3.165927E-01  
46    2.378564E+11  5.522587E+09  3.181441E-01  
47    2.603462E+11  5.572587E+09  3.181441E-01  
48    2.881142E+11  5.522587E+09  3.221441E-01  
