time S11 S22 S12 LE11 LE22 LE12
0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.5 -3.553e+06 -8.17261e+06 0.0 0.0 -0.000500125 0.0 
1.0 -7.10778e+06 -1.63493e+07 0.0 0.0 -0.0010005 0.0 
1.5 -1.06643e+07 -2.45301e+07 0.0 0.0 -0.00150113 0.0 
2.0 -1.42227e+07 -3.2715e+07 0.0 0.0 -0.002002 0.0 
2.5 -1.77828e+07 -4.0904e+07 0.0 0.0 -0.00250313 0.0 
3.0 -2.13447e+07 -4.90971e+07 0.0 0.0 -0.00300451 0.0 
3.5 -2.49084e+07 -5.72943e+07 0.0 0.0 -0.00350614 0.0 
4.0 -2.84739e+07 -6.54956e+07 0.0 0.0 -0.00400802 0.0 
4.5 -3.20412e+07 -7.3701e+07 0.0 0.0 -0.00451016 0.0 
5.0 -3.56102e+07 -8.19106e+07 0.0 0.0 -0.00501254 0.0 
5.5 -3.91811e+07 -9.01243e+07 0.0 0.0 -0.00551518 0.0 
6.0 -4.27537e+07 -9.83421e+07 0.0 0.0 -0.00601807 0.0 
6.5 -4.63282e+07 -1.06564e+08 0.0 0.0 -0.00652122 0.0 
7.0 -4.99044e+07 -1.1479e+08 0.0 0.0 -0.00702462 0.0 
7.5 -5.34825e+07 -1.2302e+08 0.0 0.0 -0.00752827 0.0 
8.0 -5.70623e+07 -1.31255e+08 0.0 0.0 -0.00803217 0.0 
8.5 -6.0644e+07 -1.39493e+08 0.0 0.0 -0.00853633 0.0 
9.0 -6.42275e+07 -1.47736e+08 0.0 0.0 -0.00904074 0.0 
9.5 -6.78127e+07 -1.55983e+08 0.0 0.0 -0.00954541 0.0 
10.0 -7.13998e+07 -1.64234e+08 0.0 0.0 -0.0100503 0.0 
