time S11 S22 S12 LE11 LE22 LE12
0.0 0.0 0.0 0.0 0.0 0.0 0.0
0.5 -1140931.36727 -5618941.57034 45728.2589351 0.000197785363276 -0.000475974038823 -6.23032614247e-06
1.0 -1172381.53242 -9070308.23615 38806.8345858 0.000642790119814 -0.000943150963438 -2.56595673866e-05
1.5 -1463298.98991 -11807689.1554 -264301.554642 0.00127629002402 -0.00139549043792 -0.00012911344903
2.0 -1385930.18318 -13815680.2534 -515999.469503 0.00204111369526 -0.0018220639094 -0.000210333290909
2.5 -1760407.81553 -15842407.661 -519348.4591 0.00276005809551 -0.00216025590124 -0.000282914029437
3.0 -1737734.39377 -16441481.9979 -391599.511054 0.00399572634146 -0.00252230420495 -0.000143236773348
3.5 -1645482.83485 -17689189.372 -337100.721455 0.00517979978415 -0.00291029590275 -0.00020562631501
4.0 -1649337.75077 -18862593.8218 -205086.560598 0.00650679629372 -0.00327725338657 -0.000169358024353
4.5 -1773127.07841 -20173033.9593 -304226.634057 0.00810993892366 -0.00367041935661 5.07331420177e-05
5.0 -1601362.83883 -20537182.1838 -210496.666391 0.00980952921235 -0.00404367481474 0.000351749527132
5.5 -1757179.69203 -21460179.2392 -199183.990757 0.0115304586306 -0.00447788778624 0.000482590290042
6.0 -1574315.1128 -21863554.9447 -216093.021339 0.0133109964604 -0.00488569165841 0.000522723714672
6.5 -1570593.32564 -22873778.9312 -181159.389628 0.0148429616491 -0.00533538929587 0.00057286330905
7.0 -1685760.42166 -23226590.5378 -51493.2746596 0.0161485075436 -0.00560952920718 0.00078054049996
7.5 -1584659.77953 -23648109.451 -3333.97700552 0.0179064074374 -0.00605874349931 0.0010193708704
8.0 -1706513.12199 -24277099.5145 41088.6055144 0.019688254447 -0.00647986246863 0.00102419828636
8.5 -1612657.21519 -24880349.2177 5067.54804795 0.021331529078 -0.00687960170651 0.00111669558974
9.0 -1622480.72134 -25055214.7685 208249.017611 0.0233543371138 -0.00736013577437 0.00111885531296
9.5 -1605787.46796 -25055496.1001 227101.812412 0.0253984307567 -0.00773812023176 0.00126494616365
10.0 -1411298.34507 -24959913.0467 331675.233284 0.0273138650148 -0.00811495039288 0.00131801190729
10.5 -926188.291968 -19806545.4025 262448.714011 0.0289528312677 -0.00777779750447 0.00118021138145
11.0 -575737.15427 -16304789.7073 206733.090245 0.0296930788116 -0.00738490961407 0.00106054027891
11.5 -420362.03604 -12961798.9609 192609.037469 0.0298713839544 -0.00695815989781 0.00105531027127
12.0 -228004.320853 -9739658.46837 256834.862973 0.0299916045436 -0.0064277162688 0.00100285200879
12.5 -134914.260249 -6476626.48858 -22628.3602611 0.0300055122674 -0.0059403207303 0.000760206879267
13.0 -88979.7160915 -4965828.6247 17269.8101887 0.0296643315114 -0.0056289324356 0.00083741376908
13.5 -85910.4363913 -3179267.13061 -107464.547001 0.0296393501022 -0.00515727727684 0.000895608291629
14.0 -54493.325327 -1936076.75012 -138709.902914 0.0298537802746 -0.00472374625269 0.000963248060001
14.5 -10974.0083464 -843598.379689 -124382.554468 0.0300333592252 -0.00433013076337 0.001054029346
15.0 6286.90333857 -367261.396888 -74836.4993958 0.0301914641788 -0.0040616459061 0.00120180574126
15.5 23309.6119384 110499.163086 -16304.9377069 0.0302980249357 -0.00383140745413 0.0013040824791
16.0 3828.33507593 181302.339733 -27608.6638013 0.0303786682728 -0.00362537983825 0.00133923896424
16.5 7687.70525123 337921.90712 -43801.3671384 0.0305267415729 -0.00333438926135 0.00134400973574
17.0 8440.95465243 288111.486698 -24964.7686623 0.0305807333354 -0.00306083868832 0.00139910804256
17.5 -3991.04753333 374509.142553 -14998.2706149 0.0305687520678 -0.00275617254789 0.00134840259566
18.0 -3001.49970248 226810.855591 -13523.198613 0.0303764686455 -0.00234362995249 0.00126198608824
18.5 -7644.42729534 216543.77834 -21701.2169376 0.0302525735199 -0.00195576703465 0.00121266435248
19.0 786.409923446 265352.603084 -20699.6222853 0.0301573174842 -0.00142577155737 0.00122928786709
19.5 8372.89346818 286768.802284 -8487.66859724 0.0301805661158 -0.000914243366455 0.00121445050221
20.0 2084.0857747 376145.754732 -25462.3713445 0.0301780844049 -0.000405346592153 0.00116986349853
