time S11 S22 S12 LE11 LE22 LE12
0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.5 -3.47305e+06 -8.10332e+06 0.0 0.0 -0.000500125 0.0 
1.0 -6.94784e+06 -1.62107e+07 0.0 0.0 -0.0010005 0.0 
1.5 -1.04244e+07 -2.43221e+07 0.0 0.0 -0.00150113 0.0 
2.0 -1.39026e+07 -3.24376e+07 0.0 0.0 -0.002002 0.0 
2.5 -1.73826e+07 -4.05572e+07 0.0 0.0 -0.00250313 0.0 
3.0 -2.08644e+07 -4.86808e+07 0.0 0.0 -0.00300451 0.0 
3.5 -2.43479e+07 -5.68085e+07 0.0 0.0 -0.00350614 0.0 
4.0 -2.78331e+07 -6.49403e+07 0.0 0.0 -0.00400802 0.0 
4.5 -3.13201e+07 -7.30762e+07 0.0 0.0 -0.00451016 0.0 
5.0 -3.48089e+07 -8.12161e+07 0.0 0.0 -0.00501254 0.0 
5.5 -3.82994e+07 -8.93602e+07 0.0 0.0 -0.00551518 0.0 
6.0 -4.17917e+07 -9.75083e+07 0.0 0.0 -0.00601807 0.0 
6.5 -4.52857e+07 -1.05661e+08 0.0 0.0 -0.00652122 0.0 
7.0 -4.87815e+07 -1.13817e+08 0.0 0.0 -0.00702462 0.0 
7.5 -5.2279e+07 -1.21977e+08 0.0 0.0 -0.00752827 0.0 
8.0 -5.57783e+07 -1.30142e+08 0.0 0.0 -0.00803217 0.0 
8.5 -5.92794e+07 -1.38311e+08 0.0 0.0 -0.00853633 0.0 
9.0 -6.27822e+07 -1.46483e+08 0.0 0.0 -0.00904074 0.0 
9.5 -6.62868e+07 -1.5466e+08 0.0 0.0 -0.00954541 0.0 
10.0 -6.97932e+07 -1.62841e+08 0.0 0.0 -0.0100503 0.0 
